FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
110	2109	2107	2106	2104	2102	2101	2099	2097	2095	2094	2092	2078	2064	2051	2037	2023	2009	1995	1982	1968	1954	1956	1958	1960	1962	1965	1967	1969	1971	1973	1975
120	3306	3370	3434	3498	3562	3626	3690	3754	3818	3882	3946	3991	4037	4082	4128	4173	4218	4264	4309	4355	4400	4391	4383	4374	4366	4357	4348	4340	4331	4323	4314
135	5433	5459	5486	5512	5538	5565	5591	5617	5643	5670	5696	5711	5725	5740	5755	5770	5784	5799	5814	5828	5843	5870	5896	5923	5949	5976	6003	6029	6056	6082	6109
136	3230	3305	3379	3454	3528	3603	3677	3752	3826	3901	3975	4058	4142	4225	4308	4392	4475	4558	4641	4725	4808	4786	4765	4743	4722	4700	4678	4657	4635	4614	4592
205	3709	3742	3776	3809	3843	3876	3909	3943	3976	4010	4043	4160	4277	4394	4511	4628	4745	4862	4979	5096	5213	5225	5237	5249	5261	5274	5286	5298	5310	5322	5334
206	5152	5155	5158	5162	5165	5168	5171	5174	5178	5181	5184	5183	5182	5180	5179	5178	5177	5176	5174	5173	5172	5174	5176	5178	5180	5182	5184	5186	5188	5190	5192
315	4746	4758	4770	4782	4794	4806	4818	4830	4842	4854	4866	4913	4960	5007	5054	5101	5148	5195	5242	5289	5336	5349	5362	5374	5387	5400	5413	5426	5438	5451	5464
325	3577	3775	3974	4172	4371	4569	4767	4966	5164	5363	5561	5753	5945	6137	6329	6521	6713	6905	7097	7289	7481	7635	7789	7944	8098	8252	8406	8560	8715	8869	9023
405	4200	4336	4473	4609	4746	4882	5018	5155	5291	5428	5564	5664	5764	5864	5964	6065	6165	6265	6365	6465	6565	6709	6853	6998	7142	7286	7430	7574	7719	7863	8007
505	2248	2540	2831	3123	3414	3706	3997	4289	4580	4872	5163	5528	5894	6259	6624	6990	7355	7720	8085	8451	8816	9379	9942	10505	11068	11631	12193	12756	13319	13882	14445
506	1878	1998	2118	2238	2358	2478	2597	2717	2837	2957	3077	3271	3464	3658	3851	4045	4238	4432	4625	4819	5012	5292	5572	5853	6133	6413	6693	6973	7254	7534	7814
605	4207	4307	4408	4508	4609	4709	4809	4910	5010	5111	5211	5365	5518	5672	5825	5979	6133	6286	6440	6593	6747	6818	6888	6959	7029	7100	7171	7241	7312	7382	7453
606	2544	2639	2734	2829	2924	3019	3114	3209	3304	3399	3494	3641	3788	3935	4082	4230	4377	4524	4671	4818	4965	5174	5384	5593	5803	6012	6221	6431	6640	6850	7059
705	2487	2605	2724	2842	2961	3079	3197	3316	3434	3553	3671	3813	3955	4097	4239	4381	4523	4665	4807	4949	5091	5234	5376	5519	5662	5805	5947	6090	6233	6375	6518
706	2090	2180	2269	2359	2449	2539	2628	2718	2808	2897	2987	3097	3206	3316	3425	3535	3644	3754	3863	3973	4082	4121	4159	4198	4236	4275	4314	4352	4391	4429	4468
805	2296	2389	2482	2575	2668	2761	2854	2947	3040	3133	3226	3454	3682	3909	4137	4365	4593	4821	5048	5276	5504	5619	5735	5850	5965	6081	6196	6311	6426	6542	6657
806	2707	2834	2961	3089	3216	3343	3470	3597	3725	3852	3979	4119	4260	4400	4541	4681	4821	4962	5102	5243	5383	5867	6350	6834	7318	7802	8285	8769	9253	9736	10220
900	2603	2662	2721	2780	2839	2898	2957	3016	3075	3134	3193	3230	3267	3304	3341	3378	3414	3451	3488	3525	3562	3615	3668	3721	3774	3827	3880	3933	3986	4039	4092
1000	2800	2830	2861	2891	2921	2952	2982	3012	3042	3073	3103	3137	3172	3206	3240	3275	3309	3343	3377	3412	3446	3453	3460	3467	3474	3481	3487	3494	3501	3508	3515
1115	2140	2170	2199	2229	2258	2288	2318	2347	2377	2406	2436	2535	2634	2734	2833	2932	3031	3130	3230	3329	3428	3520	3612	3704	3796	3889	3981	4073	4165	4257	4349
1116	4648	4718	4787	4857	4926	4996	5065	5135	5204	5274	5343	5376	5408	5441	5473	5506	5538	5571	5603	5636	5668	5671	5673	5676	5678	5681	5684	5686	5689	5691	5694
1120	4153	4434	4714	4995	5275	5556	5837	6117	6398	6678	6959	7274	7589	7904	8219	8535	8850	9165	9480	9795	10110	10266	10422	10577	10733	10889	11045	11201	11356	11512	11668
1130	1613	1595	1578	1560	1543	1525	1507	1490	1472	1455	1437	1494	1550	1607	1664	1721	1777	1834	1891	1947	2004	1994	1985	1975	1965	1956	1946	1936	1926	1917	1907
1200	4166	4254	4342	4430	4518	4606	4693	4781	4869	4957	5045	5096	5147	5198	5249	5300	5351	5402	5453	5504	5555	5634	5713	5792	5871	5950	6028	6107	6186	6265	6344
1310	7606	7691	7775	7860	7944	8029	8113	8198	8282	8367	8451	8504	8556	8609	8661	8714	8767	8819	8872	8924	8977	9007	9037	9067	9097	9128	9158	9188	9218	9248	9278
1320	6583	6585	6586	6588	6590	6592	6593	6595	6597	6598	6600	6604	6607	6611	6614	6618	6622	6625	6629	6632	6636	6634	6631	6629	6626	6624	6621	6619	6616	6614	6611
1330	6467	6489	6510	6532	6553	6575	6597	6618	6640	6661	6683	6707	6731	6755	6779	6803	6827	6851	6875	6899	6923	6962	7002	7041	7080	7120	7159	7198	7237	7277	7316
1410	2779	2946	3113	3279	3446	3613	3780	3947	4113	4280	4447	4444	4441	4439	4436	4433	4430	4427	4425	4422	4419	4422	4424	4427	4430	4433	4435	4438	4441	4443	4446
1420	4175	4183	4191	4198	4206	4214	4222	4230	4237	4245	4253	4259	4265	4270	4276	4282	4288	4294	4299	4305	4311	4357	4403	4450	4496	4542	4588	4634	4681	4727	4773
1505	4853	5004	5155	5306	5457	5608	5759	5910	6061	6212	6363	6472	6581	6690	6799	6909	7018	7127	7236	7345	7454	7509	7564	7619	7674	7729	7783	7838	7893	7948	8003
1506	5322	5521	5720	5918	6117	6316	6515	6714	6912	7111	7310	7427	7544	7661	7778	7896	8013	8130	8247	8364	8481	8502	8522	8543	8563	8584	8604	8625	8645	8666	8686
1605	6020	6137	6254	6371	6488	6605	6721	6838	6955	7072	7189	7235	7282	7328	7375	7421	7467	7514	7560	7607	7653	7650	7646	7643	7639	7636	7632	7629	7625	7622	7618
1606	3750	3871	3991	4112	4232	4353	4473	4594	4714	4835	4955	4996	5036	5077	5118	5159	5199	5240	5281	5321	5362	5369	5376	5382	5389	5396	5403	5410	5416	5423	5430
1710	7806	7813	7820	7827	7834	7842	7849	7856	7863	7870	7877	7902	7927	7952	7977	8002	8026	8051	8076	8101	8126	8163	8200	8236	8273	8310	8347	8384	8420	8457	8494
1720	10492	10497	10503	10508	10513	10519	10524	10529	10534	10540	10545	10538	10531	10524	10517	10510	10503	10496	10489	10482	10475	10458	10440	10423	10406	10389	10371	10354	10337	10319	10302
1810	1679	1653	1627	1602	1576	1550	1524	1498	1473	1447	1421	1428	1436	1443	1450	1458	1465	1472	1479	1487	1494	1527	1559	1592	1624	1657	1689	1722	1754	1787	1819
1820	3858	3837	3817	3796	3775	3755	3734	3713	3692	3672	3651	3680	3709	3738	3767	3797	3826	3855	3884	3913	3942	3980	4017	4055	4092	4130	4167	4205	4242	4280	4317
1900	244	233	222	211	200	189	178	167	156	145	134	139	145	150	156	161	166	172	177	183	188	212	236	260	284	308	331	355	379	403	427
2000	1509	1602	1695	1789	1882	1975	2068	2161	2255	2348	2441	2470	2498	2527	2556	2585	2613	2642	2671	2699	2728	2869	3010	3151	3292	3434	3575	3716	3857	3998	4139
2100	2127	2289	2452	2614	2776	2939	3101	3263	3425	3588	3750	4027	4303	4580	4856	5133	5409	5686	5962	6239	6515	6551	6586	6622	6657	6693	6729	6764	6800	6835	6871
2215	2603	2752	2901	3050	3199	3348	3497	3646	3795	3944	4093	4268	4444	4619	4794	4970	5145	5320	5495	5671	5846	5931	6016	6102	6187	6272	6357	6442	6528	6613	6698
2216	3096	3217	3339	3460	3582	3703	3824	3946	4067	4189	4310	4434	4559	4683	4807	4932	5056	5180	5304	5429	5553	5660	5766	5873	5979	6086	6193	6299	6406	6512	6619
2225	2237	2332	2427	2522	2617	2712	2806	2901	2996	3091	3186	3324	3463	3601	3740	3878	4016	4155	4293	4432	4570	4660	4750	4840	4930	5021	5111	5201	5291	5381	5471
2910	420	449	478	507	536	566	595	624	653	682	711	722	734	745	757	768	779	791	802	814	825	865	905	946	986	1026	1066	1106	1147	1187	1227
2925	1843	1950	2058	2165	2272	2380	2487	2594	2701	2809	2916	3062	3208	3354	3500	3646	3792	3938	4084	4230	4376	4498	4620	4742	4864	4986	5108	5230	5352	5474	5596
2926	3059	3253	3446	3640	3833	4027	4220	4414	4607	4801	4994	5274	5553	5833	6112	6392	6672	6951	7231	7510	7790	7881	7972	8062	8153	8244	8335	8426	8516	8607	8698
2927	1110	1143	1175	1208	1241	1274	1306	1339	1372	1404	1437	1490	1543	1596	1649	1702	1754	1807	1860	1913	1966	2008	2050	2092	2134	2176	2217	2259	2301	2343	2385
2935	4265	4282	4300	4317	4334	4352	4369	4386	4403	4421	4438	4453	4469	4484	4500	4515	4530	4546	4561	4577	4592	4543	4493	4444	4394	4345	4295	4246	4196	4147	4097
2936	236	236	237	237	237	238	238	238	238	239	239	302	366	429	492	556	619	682	745	809	872	1077	1282	1487	1692	1897	2101	2306	2511	2716	2921
2940	2053	2149	2245	2341	2437	2533	2628	2724	2820	2916	3012	3166	3321	3475	3629	3784	3938	4092	4246	4401	4555	4658	4761	4863	4966	5069	5172	5275	5377	5480	5583
3010	6068	6572	7075	7579	8083	8587	9090	9594	10098	10601	11105	11452	11798	12145	12491	12838	13185	13531	13878	14224	14571	14569	14567	14565	14563	14561	14558	14556	14554	14552	14550
3020	5219	5453	5687	5920	6154	6388	6622	6856	7089	7323	7557	7706	7854	8003	8151	8300	8449	8597	8746	8894	9043	9058	9073	9088	9103	9118	9132	9147	9162	9177	9192
3030	5426	5712	5997	6283	6568	6854	7139	7425	7710	7996	8281	8442	8603	8764	8925	9087	9248	9409	9570	9731	9892	10092	10291	10491	10690	10890	11089	11289	11488	11688	11887
3045	5855	6170	6484	6799	7113	7428	7742	8057	8371	8686	9000	9093	9186	9280	9373	9466	9559	9652	9746	9839	9932	9958	9984	10010	10036	10062	10087	10113	10139	10165	10191
3046	5681	5979	6277	6575	6873	7172	7470	7768	8066	8364	8662	8711	8760	8809	8858	8907	8956	9005	9054	9103	9152	9154	9155	9157	9158	9160	9162	9163	9165	9166	9168
3110	1232	1313	1393	1474	1554	1635	1715	1796	1876	1957	2037	2102	2166	2231	2295	2360	2424	2489	2553	2618	2682	2712	2741	2771	2801	2831	2860	2890	2920	2949	2979
3120	5593	5754	5914	6075	6235	6396	6557	6717	6878	7038	7199	7359	7519	7679	7839	8000	8160	8320	8480	8640	8800	8803	8807	8810	8813	8817	8820	8823	8826	8830	8833
3130	4795	4936	5076	5217	5357	5498	5639	5779	5920	6060	6201	6259	6318	6376	6435	6493	6551	6610	6668	6727	6785	6777	6769	6761	6753	6746	6738	6730	6722	6714	6706
3200	4399	4497	4594	4692	4789	4887	4985	5082	5180	5277	5375	5535	5696	5856	6016	6177	6337	6497	6657	6818	6978	7001	7024	7046	7069	7092	7115	7138	7160	7183	7206
3310	2274	2358	2442	2527	2611	2695	2779	2863	2948	3032	3116	3257	3398	3539	3680	3821	3962	4103	4244	4385	4526	4728	4930	5132	5334	5537	5739	5941	6143	6345	6547
3320	2848	3079	3310	3541	3772	4003	4234	4465	4696	4927	5158	5445	5731	6018	6304	6591	6878	7164	7451	7737	8024	8183	8343	8502	8662	8821	8980	9140	9299	9459	9618
3330	2928	3020	3113	3205	3297	3390	3482	3574	3666	3759	3851	3904	3958	4011	4064	4118	4171	4224	4277	4331	4384	4410	4435	4461	4487	4513	4538	4564	4590	4615	4641
3413	1728	1743	1757	1772	1787	1802	1816	1831	1846	1860	1875	1920	1965	2011	2056	2101	2146	2191	2237	2282	2327	2386	2445	2504	2563	2622	2680	2739	2798	2857	2916
3414	4423	4613	4804	4994	5185	5375	5565	5756	5946	6137	6327	6495	6663	6831	6999	7168	7336	7504	7672	7840	8008	8053	8098	8144	8189	8234	8279	8324	8370	8415	8460
3415	3352	3553	3753	3954	4154	4355	4555	4756	4956	5157	5357	5552	5747	5943	6138	6333	6528	6723	6919	7114	7309	7428	7546	7665	7783	7902	8020	8139	8257	8376	8494
3416	4376	4643	4910	5177	5444	5711	5977	6244	6511	6778	7045	7115	7186	7256	7327	7397	7467	7538	7608	7679	7749	7839	7930	8020	8111	8201	8291	8382	8472	8563	8653
3425	2050	2203	2356	2508	2661	2814	2967	3120	3272	3425	3578	3698	3818	3938	4058	4178	4297	4417	4537	4657	4777	4918	5059	5200	5341	5483	5624	5765	5906	6047	6188
