FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
110	837	835	833	831	829	828	826	824	822	820	818	824	830	837	843	849	855	861	868	874	880	861	842	823	804	785	765	746	727	708	689
120	798	906	1014	1123	1231	1339	1447	1555	1664	1772	1880	1837	1794	1751	1708	1665	1622	1579	1536	1493	1450	1414	1379	1343	1307	1272	1236	1200	1164	1129	1093
135	1535	1514	1492	1471	1450	1429	1407	1386	1365	1343	1322	1449	1575	1702	1828	1955	2082	2208	2335	2461	2588	2596	2604	2611	2619	2627	2635	2643	2650	2658	2666
136	4895	4809	4724	4638	4553	4467	4381	4296	4210	4125	4039	4068	4097	4127	4156	4185	4214	4243	4273	4302	4331	4302	4273	4244	4215	4186	4156	4127	4098	4069	4040
205	7252	7302	7351	7401	7450	7500	7550	7599	7649	7698	7748	8113	8478	8843	9208	9573	9938	10303	10668	11033	11398	11279	11161	11042	10923	10805	10686	10567	10448	10330	10211
206	4273	4543	4813	5084	5354	5624	5894	6164	6435	6705	6975	6976	6977	6977	6978	6979	6980	6981	6981	6982	6983	6915	6846	6778	6709	6641	6572	6504	6435	6367	6298
315	2282	2399	2515	2632	2749	2866	2982	3099	3216	3332	3449	3848	4246	4645	5043	5442	5841	6239	6638	7036	7435	7341	7247	7152	7058	6964	6870	6776	6681	6587	6493
325	2547	2705	2863	3020	3178	3336	3494	3652	3809	3967	4125	4267	4410	4552	4695	4837	4979	5122	5264	5407	5549	5506	5462	5419	5376	5333	5289	5246	5203	5159	5116
405	1255	1402	1548	1695	1841	1988	2134	2281	2427	2574	2720	2803	2886	2968	3051	3134	3217	3300	3382	3465	3548	3571	3595	3618	3642	3665	3688	3712	3735	3759	3782
505	1167	1303	1439	1575	1711	1847	1983	2119	2255	2391	2527	2859	3192	3524	3857	4189	4521	4854	5186	5519	5851	6154	6457	6760	7063	7366	7669	7972	8275	8578	8881
506	755	814	874	933	992	1052	1111	1170	1229	1289	1348	1466	1585	1703	1821	1940	2058	2176	2294	2413	2531	2691	2852	3012	3173	3333	3493	3654	3814	3975	4135
605	1071	1260	1449	1638	1827	2016	2204	2393	2582	2771	2960	2966	2973	2979	2986	2992	2998	3005	3011	3018	3024	3085	3146	3207	3268	3329	3390	3451	3512	3573	3634
606	1189	1233	1276	1320	1364	1408	1451	1495	1539	1582	1626	1762	1898	2034	2170	2307	2443	2579	2715	2851	2987	3099	3211	3324	3436	3548	3660	3772	3885	3997	4109
705	1962	2035	2107	2180	2252	2325	2398	2470	2543	2615	2688	2598	2508	2417	2327	2237	2147	2057	1966	1876	1786	1856	1925	1995	2065	2135	2204	2274	2344	2413	2483
706	864	1051	1237	1424	1611	1798	1984	2171	2358	2544	2731	2762	2792	2823	2854	2885	2915	2946	2977	3007	3038	3041	3044	3047	3050	3054	3057	3060	3063	3066	3069
805	243	324	405	486	567	648	729	810	891	972	1053	1204	1354	1505	1655	1806	1956	2107	2257	2408	2558	2756	2955	3153	3351	3550	3748	3946	4144	4343	4541
806	541	626	711	796	881	966	1051	1136	1221	1306	1391	1465	1539	1612	1686	1760	1834	1908	1981	2055	2129	2281	2432	2584	2735	2887	3038	3190	3341	3493	3644
900	3917	3981	4045	4109	4173	4238	4302	4366	4430	4494	4558	4975	5393	5810	6227	6645	7062	7479	7896	8314	8731	8942	9153	9365	9576	9787	9998	10209	10421	10632	10843
1000	529	662	796	929	1062	1196	1329	1462	1595	1729	1862	1853	1844	1835	1826	1817	1807	1798	1789	1780	1771	1763	1755	1748	1740	1732	1724	1716	1709	1701	1693
1115	864	920	975	1031	1086	1142	1198	1253	1309	1364	1420	1660	1901	2141	2381	2622	2862	3102	3342	3583	3823	3907	3991	4076	4160	4244	4328	4412	4497	4581	4665
1116	2560	2934	3309	3683	4057	4432	4806	5180	5554	5929	6303	6371	6439	6507	6575	6643	6711	6779	6847	6915	6983	6902	6821	6739	6658	6577	6496	6415	6333	6252	6171
1120	4104	4446	4787	5129	5471	5813	6154	6496	6838	7179	7521	7825	8128	8432	8735	9039	9342	9646	9949	10253	10556	10537	10518	10499	10480	10461	10442	10423	10404	10385	10366
1130	669	678	688	697	707	716	725	735	744	754	763	860	957	1054	1151	1248	1344	1441	1538	1635	1732	1894	2056	2219	2381	2543	2705	2867	3030	3192	3354
1200	1819	1917	2014	2112	2210	2308	2405	2503	2601	2698	2796	2918	3039	3161	3283	3405	3526	3648	3770	3891	4013	4024	4034	4045	4056	4067	4077	4088	4099	4109	4120
1310	4119	4152	4185	4218	4251	4284	4317	4350	4383	4416	4449	4465	4480	4496	4511	4527	4542	4558	4573	4589	4604	4636	4668	4700	4732	4764	4795	4827	4859	4891	4923
1320	2613	2783	2953	3123	3293	3464	3634	3804	3974	4144	4314	4329	4344	4359	4374	4390	4405	4420	4435	4450	4465	4402	4340	4277	4215	4152	4089	4027	3964	3902	3839
1330	1976	2074	2171	2269	2366	2464	2562	2659	2757	2854	2952	3006	3060	3113	3167	3221	3275	3329	3382	3436	3490	3633	3776	3919	4062	4205	4347	4490	4633	4776	4919
1410	10532	10632	10732	10833	10933	11033	11133	11233	11334	11434	11534	11644	11754	11864	11974	12085	12195	12305	12415	12525	12635	12468	12301	12135	11968	11801	11634	11467	11301	11134	10967
