zone_id, sf_units, mf_units, comm_sqft, off_sqft, ind_sqft
296,0,0,500000,0,0
315,0,0,0,334000,0
403,0,0,0,345992,0
430,0,0,0,368000,0
432,0,0,0,444205,0
433,0,1910,0,1625736,0
434,0,0,0,245000,0
474,0,0,0,925344,0
475,0,0,0,915669,0
486,0,0,0,859109,0
495,0,0,0,300000,0
608,0,2580,0,0,0
615,0,1551,0,0,0
631,0,560,0,437846,0
653,0,0,0,189600,0
974,0,340,191407,191407,0
1016,0,503,3885406,2482007,2982221
1027,0,0,1013868,0,2154468
1033,0,0,0,0,535958
1103,0,3,0,0,0
1124,0,380,0,0,0
1136,0,301,0,0,0
1137,0,200,0,0,0
1140,0,163,0,0,0
1433,0,104,0,0,0
1517,0,0,0,370605,0
1537,0,61,16415,0,0
1544,0,111,20777,0,0
1545,0,0,53799,53799,0
1547,0,176,76700,29236,0
1548,0,0,355000,715000,0
1549,0,138,260478,461999,0
1550,0,349,115321,304283,0
1551,0,154,132230,750000,0
1552,0,143,55286,0,0
1586,0,2011,0,2733059,0
1612,0,1329,278272,1077103,0
1613,0,0,0,3828116,0
1616,0,0,0,131788,0
1617,0,0,0,317894,0
1626,0,0,0,436307,0
1628,0,0,0,1101772,0
1629,0,0,0,2069704,0
1653,0,0,1361716,0,0
1663,0,0,0,180000,0
1666,0,238,600000,804000,0
1778,0,0,0,0,200000
1902,0,187,0,0,0
1913,0,129,0,0,0
1914,2237,0,1338044,0,0
1929,0,0,0,830000,285000
1974,105,236,0,0,0
1977,124,140,0,0,0
1983,211,180,0,0,0
1985,89,0,0,0,0
2042,0,451,1024614,0,0
2043,737,1835,0,0,0
2045,1781,0,0,0,0
2046,1196,0,0,0,0
2097,55,0,0,0,0
2099,62,124,0,0,0
2123,42,0,0,0,0
2128,0,0,0,72000,0
2130,0,326,154370,333885,0
2143,0,0,0,1020,0
2144,0,240,142700,0,43124
2147,0,0,0,0,1355600
2148,65,0,0,0,0
2158,25,0,0,0,0
2162,10,0,0,0,0
2166,0,189,0,0,0
2167,17,5,0,0,0
2173,0,0,2979533,0,0
2186,0,19,0,0,0
2190,0,16,0,0,0
2195,0,36,0,0,0
2196,0,9,0,0,0
2201,75,0,0,0,0
2202,15,0,0,0,0
2205,32,0,0,0,0
2207,20,0,0,0,0
2208,184,0,147000,0,0
2209,179,0,0,0,0
2215,11,0,0,0,0
2221,112,0,0,0,0
2229,25,0,0,0,0
2230,74,0,0,0,0
2231,288,0,0,0,0
2233,44,0,0,0,0
2234,66,0,0,0,0
2236,30,0,0,0,0
2239,40,0,0,0,0
2240,133,0,0,0,0
2241,21,0,0,0,0
2242,0,0,36000,0,0
2246,5,0,0,0,0
2247,336,0,0,0,0
2251,13,0,458000,0,0
2252,0,0,377500,0,0
2253,0,0,0,800000,0
2255,0,198,0,668802,0
2257,0,0,0,600000,0
2268,0,0,2576,0,0
2278,0,8,0,0,0
2279,0,153,0,0,0
2281,0,52,0,0,0
2291,0,1128,235381,0,0
2295,0,130,0,0,0
2296,10,0,0,0,0
2297,0,48,0,0,0
2306,7,0,0,0,0
2309,0,0,0,63975,407595
2311,0,0,0,0,74644
2315,5,0,0,0,0
2318,5,0,0,0,0
2319,5,0,0,0,0
2330,471,0,0,0,0
2341,130,0,0,0,0
2343,53,0,0,0,0
2344,52,126,0,0,0
2345,9,0,0,0,0
2348,19,0,0,0,0
2363,11,0,0,0,0
2365,17,0,0,0,0
2366,81,0,0,0,0
2373,0,0,155845,0,0
2376,10,0,0,0,0
2386,106,0,0,0,0
2388,3,0,0,0,90800
2392,0,0,0,0,84575
2393,53,0,0,0,0
2394,22,0,0,0,0
2400,8,0,0,0,0
2402,8,0,0,0,0
2405,6,0,0,0,0
2408,29,0,0,0,0
2411,0,0,56860,0,0
2412,28,6,0,0,110000
2413,47,0,0,0,0
2414,52,23,0,0,45500
2418,12,0,0,0,0
2424,11,0,0,0,0
2425,76,0,0,0,0
2427,5,0,0,0,0
2428,69,36,0,0,0
2431,84,0,0,0,0
2433,134,0,0,0,0
2434,8,0,0,0,0
2440,21,0,0,0,0
2441,33,0,0,0,0
2445,0,20,0,0,0
2460,20,239,0,0,0
2461,60,35,0,0,0
2462,6,0,0,0,0
2463,82,0,0,0,0
2464,791,0,0,0,0
2471,75,0,0,0,0
2472,78,99,0,0,0
2475,10,0,0,0,0
2476,35,0,0,0,0
2478,84,0,0,0,0
2479,103,0,0,0,0
2480,7,0,0,0,0
2481,55,34,0,0,0
2482,91,0,0,0,0
2483,147,14,0,0,0
2484,47,0,0,0,0
2485,90,969,0,0,0
2486,10,12,0,0,0
2487,192,55,58910,0,0
2488,0,48,0,0,0
2491,0,84,0,257466,0
2492,22,6,0,0,0
2494,7,0,0,0,0
2495,0,171,0,0,0
2496,0,10,0,0,0
2498,11,0,0,0,0
2499,69,0,0,0,0
2500,116,0,0,0,0
2501,125,0,0,0,0
2504,3,0,0,0,0
2507,47,0,0,0,0
2512,0,31,0,0,0
2513,3,0,0,0,0
2514,0,0,57221,0,0
2516,4,0,0,0,0
2519,6,0,0,0,0
2520,23,644,381700,0,0
2521,0,507,0,0,0
2522,79,175,0,0,74372
2523,0,0,75000,0,0
2524,0,199,0,0,0
2527,159,0,0,0,0
2528,81,0,0,0,0
2529,21,34,0,0,0
2530,59,580,0,0,0
2531,20,0,0,0,0
2534,44,0,0,0,0
2535,36,0,0,0,0
2536,10,0,0,0,0
2537,12,280,0,105067,0
2538,1043,0,0,0,0
2544,0,0,0,0,40772
2557,32,0,0,0,0
2558,0,0,0,0,44200
2560,59,0,0,0,0
2561,172,0,0,0,0
2562,5,0,0,0,0
2563,144,0,0,0,0
2564,0,0,0,371957,0
2567,37,12,0,0,0
2568,5,0,0,0,0
2569,12,6,0,0,0
2572,24,0,0,0,0
2576,0,0,0,500000,0
2586,17,0,0,0,0
2589,0,0,150000,0,0
2599,9,46,0,50000,0
2600,4,0,0,0,0
2602,7,0,0,0,0
2604,12,0,0,0,0
2605,64,0,0,0,0
2606,247,0,0,0,0
2607,28,0,0,0,0
2609,35,0,0,0,0
2612,20,0,0,0,0
2614,22,0,0,0,0
2616,18,0,0,0,0
2617,0,6,0,0,0
2620,0,55,0,0,0
2627,0,150,0,0,0
2629,5,0,0,0,0
2638,0,280,0,0,0
2640,0,2352,114298,0,0
2642,0,29,0,0,0
2643,6,0,0,0,0
2650,0,109,0,0,0
2652,0,12,0,0,0
2653,9,123,0,0,0
2658,3,0,0,0,0
2661,46,0,0,0,0
2666,22,0,97147,0,0
2667,14,0,0,0,0
2701,39,0,0,0,0
2705,97,0,0,0,0
2706,640,0,0,0,0
2707,253,0,0,0,0
2713,176,0,0,0,0
2757,980,0,0,0,0
2759,0,0,240000,0,0
2896,0,196,0,0,0
2972,0,25,515125,0,0
2974,0,71,42231,0,0
3070,0,0,95138,0,0
3071,0,0,504562,0,0
3073,0,0,0,0,225001
3074,99,265,0,0,0
3075,59,187,0,0,0
3159,681,0,0,0,0
3160,87,0,0,0,0
3161,447,0,0,0,0
3162,204,0,0,0,0
3170,0,0,0,0,1076788
3178,0,0,0,0,485100
3209,364,0,0,0,0
3213,0,173,0,0,0
3215,0,0,0,0,835123
3221,0,0,0,0,206463
3293,187,0,0,0,0
