FAZ00	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
110	5485	5472	5458	5445	5432	5419	5405	5392	5379	5365	5352	5292	5232	5173	5113	5053	4993	4933	4874	4814	4754	4750	4747	4743	4739	4736	4732	4728	4724	4721	4717
120	9114	9225	9335	9446	9556	9667	9777	9888	9998	10109	10219	10271	10324	10376	10428	10481	10533	10585	10637	10690	10742	10701	10660	10619	10578	10538	10497	10456	10415	10374	10333
135	14654	14665	14676	14687	14698	14709	14720	14731	14742	14753	14764	14727	14690	14653	14616	14580	14543	14506	14469	14432	14395	14456	14516	14577	14638	14699	14759	14820	14881	14941	15002
136	8098	8243	8387	8532	8676	8821	8965	9110	9254	9399	9543	9687	9831	9976	10120	10264	10408	10552	10697	10841	10985	10899	10813	10728	10642	10556	10470	10384	10299	10213	10127
205	8527	8610	8694	8777	8860	8944	9027	9110	9193	9277	9360	9651	9941	10232	10522	10813	11103	11394	11684	11975	12265	12296	12327	12359	12390	12421	12452	12483	12515	12546	12577
206	12572	12581	12590	12599	12608	12617	12625	12634	12643	12652	12661	12619	12577	12536	12494	12452	12410	12368	12327	12285	12243	12258	12274	12289	12305	12320	12335	12351	12366	12382	12397
315	11959	12011	12062	12114	12165	12217	12268	12320	12371	12423	12474	12547	12620	12694	12767	12840	12913	12986	13060	13133	13206	13263	13320	13377	13434	13491	13548	13605	13662	13719	13776
325	8997	9441	9885	10330	10774	11218	11662	12106	12551	12995	13439	13988	14537	15085	15634	16183	16732	17281	17829	18378	18927	19415	19903	20390	20878	21366	21854	22342	22829	23317	23805
405	11889	12279	12668	13058	13447	13837	14227	14616	15006	15395	15785	16032	16279	16526	16773	17020	17267	17514	17761	18008	18255	18713	19171	19628	20086	20544	21002	21460	21917	22375	22833
505	7038	7897	8757	9616	10476	11335	12194	13054	13913	14773	15632	16759	17885	19012	20138	21265	22392	23518	24645	25771	26898	28636	30375	32113	33852	35590	37328	39067	40805	42544	44282
506	6276	6643	7010	7377	7744	8111	8477	8844	9211	9578	9945	10477	11010	11542	12074	12607	13139	13671	14203	14736	15268	16091	16914	17737	18560	19383	20206	21029	21852	22675	23498
605	13049	13225	13401	13577	13753	13929	14105	14281	14457	14633	14809	15184	15558	15933	16307	16682	17056	17431	17805	18180	18554	18726	18898	19069	19241	19413	19585	19757	19928	20100	20272
606	7823	8060	8296	8533	8769	9006	9242	9479	9715	9952	10188	10533	10877	11222	11566	11911	12256	12600	12945	13289	13634	14211	14788	15365	15942	16520	17097	17674	18251	18828	19405
705	6766	7115	7463	7812	8160	8509	8857	9206	9554	9903	10251	10659	11068	11476	11885	12293	12701	13110	13518	13927	14335	14778	15222	15665	16109	16552	16995	17439	17882	18326	18769
706	5974	6243	6512	6780	7049	7318	7587	7856	8124	8393	8662	8960	9258	9556	9854	10152	10449	10747	11045	11343	11641	11688	11735	11782	11829	11877	11924	11971	12018	12065	12112
805	6852	7138	7425	7711	7997	8284	8570	8856	9142	9429	9715	10411	11106	11802	12497	13193	13888	14584	15279	15975	16670	16926	17181	17437	17692	17948	18204	18459	18715	18970	19226
806	8630	9000	9371	9741	10112	10482	10852	11223	11593	11964	12334	12679	13025	13370	13715	14061	14406	14751	15096	15442	15787	17044	18301	19558	20815	22072	23328	24585	25842	27099	28356
900	6334	6496	6657	6819	6980	7142	7304	7465	7627	7788	7950	8011	8071	8132	8193	8254	8314	8375	8436	8496	8557	8680	8802	8925	9047	9170	9293	9415	9538	9660	9783
1000	8044	8069	8094	8119	8144	8169	8193	8218	8243	8268	8293	8371	8448	8526	8604	8682	8759	8837	8915	8992	9070	9047	9023	9000	8976	8953	8930	8906	8883	8859	8836
1115	6434	6472	6510	6547	6585	6623	6661	6699	6736	6774	6812	7044	7276	7508	7740	7972	8203	8435	8667	8899	9131	9342	9553	9765	9976	10187	10398	10609	10821	11032	11243
1116	11298	11418	11538	11658	11778	11898	12018	12138	12258	12378	12498	12596	12695	12793	12891	12990	13088	13186	13284	13383	13481	13483	13484	13486	13488	13490	13491	13493	13495	13496	13498
1120	11994	12705	13417	14128	14840	15551	16262	16974	17685	18397	19108	19894	20679	21465	22251	23037	23822	24608	25394	26179	26965	27225	27485	27746	28006	28266	28526	28786	29047	29307	29567
1130	3641	3583	3526	3468	3410	3353	3295	3237	3179	3122	3064	3168	3271	3375	3479	3583	3686	3790	3894	3997	4101	4089	4076	4064	4052	4040	4027	4015	4003	3990	3978
