juris_d,tract,tractcity_id,trctjuris
Kenmore,000100,1,000100Kenmore
Kirkland,000100,2,000100Kirkland
Lake Forest Park,000100,3,000100Lake Forest Park
Seattle,000100,4,000100Seattle
Seattle,000200,5,000200Seattle
Shoreline,000200,6,000200Shoreline
Seattle,000300,7,000300Seattle
Shoreline,000300,8,000300Shoreline
Seattle,000401,9,000401Seattle
Shoreline,000401,10,000401Shoreline
Seattle,000402,11,000402Seattle
Seattle,000500,12,000500Seattle
Shoreline,000500,13,000500Shoreline
Seattle,000600,14,000600Seattle
Seattle,000700,15,000700Seattle
Seattle,000800,16,000800Seattle
Kirkland,000900,17,000900Kirkland
Seattle,000900,18,000900Seattle
Seattle,001000,19,001000Seattle
Seattle,001100,20,001100Seattle
Seattle,001200,21,001200Seattle
Seattle,001300,22,001300Seattle
Seattle,001400,23,001400Seattle
Seattle,001500,24,001500Seattle
Seattle,001600,25,001600Seattle
Seattle,001701,26,001701Seattle
Seattle,001702,27,001702Seattle
Seattle,001800,28,001800Seattle
Seattle,001900,29,001900Seattle
Seattle,002000,30,002000Seattle
Seattle,002100,31,002100Seattle
Kirkland,002200,32,002200Kirkland
Seattle,002200,33,002200Seattle
Seattle,002400,34,002400Seattle
Seattle,002500,35,002500Seattle
Seattle,002600,36,002600Seattle
Seattle,002700,37,002700Seattle
Seattle,002800,38,002800Seattle
Seattle,002900,39,002900Seattle
Seattle,003000,40,003000Seattle
Seattle,003100,41,003100Seattle
Seattle,003200,42,003200Seattle
Seattle,003300,43,003300Seattle
Seattle,003400,44,003400Seattle
Seattle,003500,45,003500Seattle
Seattle,003600,46,003600Seattle
Seattle,003800,47,003800Seattle
Seattle,003900,48,003900Seattle
Hunts Point,004000,49,004000Hunts Point
Kirkland,004000,50,004000Kirkland
Seattle,004000,51,004000Seattle
Hunts Point,004100,52,004100Hunts Point
Medina,004100,53,004100Medina
Seattle,004100,54,004100Seattle
Seattle,004200,55,004200Seattle
Seattle,004301,56,004301Seattle
Seattle,004302,57,004302Seattle
Seattle,004400,58,004400Seattle
Seattle,004500,59,004500Seattle
Seattle,004600,60,004600Seattle
Seattle,004700,61,004700Seattle
Seattle,004800,62,004800Seattle
Seattle,004900,63,004900Seattle
Seattle,005000,64,005000Seattle
Seattle,005100,65,005100Seattle
Seattle,005200,66,005200Seattle
Seattle,005301,67,005301Seattle
Seattle,005302,68,005302Seattle
Seattle,005400,69,005400Seattle
Seattle,005600,70,005600Seattle
Seattle,005700,71,005700Seattle
Seattle,005801,72,005801Seattle
Seattle,005802,73,005802Seattle
Seattle,005900,74,005900Seattle
Seattle,006000,75,006000Seattle
Seattle,006100,76,006100Seattle
Seattle,006200,77,006200Seattle
Medina,006300,78,006300Medina
Seattle,006300,79,006300Seattle
Seattle,006400,80,006400Seattle
Seattle,006500,81,006500Seattle
Seattle,006600,82,006600Seattle
Seattle,006700,83,006700Seattle
Seattle,006800,84,006800Seattle
Seattle,006900,85,006900Seattle
Seattle,007000,86,007000Seattle
Seattle,007100,87,007100Seattle
Seattle,007200,88,007200Seattle
Seattle,007300,89,007300Seattle
Seattle,007401,90,007401Seattle
Seattle,007402,91,007402Seattle
Seattle,007500,92,007500Seattle
Seattle,007600,93,007600Seattle
Seattle,007700,94,007700Seattle
Seattle,007800,95,007800Seattle
Seattle,007900,96,007900Seattle
Seattle,008001,97,008001Seattle
Seattle,008002,98,008002Seattle
Seattle,008100,99,008100Seattle
Seattle,008200,100,008200Seattle
Seattle,008300,101,008300Seattle
Seattle,008400,102,008400Seattle
Seattle,008500,103,008500Seattle
Seattle,008600,104,008600Seattle
Seattle,008700,105,008700Seattle
Seattle,008800,106,008800Seattle
Mercer Island,008900,107,008900Mercer Island
Seattle,008900,108,008900Seattle
Seattle,009000,109,009000Seattle
Seattle,009100,110,009100Seattle
King Co Rural,009200,111,009200King Co Rural
Seattle,009200,112,009200Seattle
Seattle,009300,113,009300Seattle
Seattle,009400,114,009400Seattle
Mercer Island,009500,115,009500Mercer Island
Seattle,009500,116,009500Seattle
Seattle,009600,117,009600Seattle
Seattle,009701,118,009701Seattle
Seattle,009702,119,009702Seattle
Seattle,009800,120,009800Seattle
Seattle,009900,121,009900Seattle
Seattle,010001,122,010001Seattle
Seattle,010002,123,010002Seattle
Mercer Island,010100,124,010100Mercer Island
Seattle,010100,125,010100Seattle
Seattle,010200,126,010200Seattle
Seattle,010300,127,010300Seattle
Seattle,010401,128,010401Seattle
Seattle,010402,129,010402Seattle
Seattle,010500,130,010500Seattle
Seattle,010600,131,010600Seattle
Seattle,010701,132,010701Seattle
Seattle,010702,133,010702Seattle
Seattle,010800,134,010800Seattle
Seattle,010900,135,010900Seattle
Tukwila,010900,136,010900Tukwila
Seattle,011001,137,011001Seattle
Seattle,011002,138,011002Seattle
