faz_id,householdsHS_2000,householdsHS_2010,householdsHS_2011,householdsHS_2012,householdsHS_2013,householdsHS_2014,householdsHS_2015,householdsHS_2016,householdsHS_2017,householdsHS_2018,householdsHS_2019,householdsHS_2020,householdsHS_2021,householdsHS_2022,householdsHS_2023,householdsHS_2024,householdsHS_2025,householdsHS_2026,householdsHS_2027,householdsHS_2028,householdsHS_2029,householdsHS_2030,householdsHS_2031,householdsHS_2032,householdsHS_2033,householdsHS_2034,householdsHS_2035,householdsHS_2036,householdsHS_2037,householdsHS_2038,householdsHS_2039,householdsHS_2040
110,1925,1974,1963,2002,2045,2084,2130,2152,2174,2187,2179,2537,2548,2551,2554,2557,2650,2633,2626,2621,2615,2820,2796,2775,2765,2758,2986,2962,2945,2929,2909,3034
120,4335,4470,4479,4528,4578,4641,4618,4688,4763,4814,4800,4915,5002,5062,5102,5146,5228,5308,5329,5350,5367,5346,5441,5471,5481,5490,5487,5606,5628,5644,5654,5539
135,5686,6090,6079,6148,6218,6299,6414,6455,6522,6604,6627,7358,7432,7502,7548,7587,7948,7917,7903,7895,7883,8516,8464,8449,8433,8416,9154,9104,9082,9069,9037,9458
136,4763,4611,4626,4668,4740,4806,4884,4886,4929,4968,4956,5150,5155,5175,5186,5191,5473,5444,5428,5414,5400,5823,5790,5757,5728,5707,6168,6127,6086,6059,6034,6303
205,4520,4645,4635,4691,4756,4821,4908,4938,4984,5032,5028,5307,5298,5311,5328,5328,5587,5565,5536,5537,5525,5984,5935,5877,5850,5822,6326,6277,6240,6213,6172,6688
206,5027,5296,5302,5386,5441,5531,5623,5648,5690,5745,5746,6260,6289,6327,6366,6390,6764,6723,6692,6670,6658,7871,7819,7768,7730,7695,9767,9682,9599,9532,9476,13276
315,5046,5388,5414,5483,5550,5632,5722,5748,5809,5861,5866,5870,5891,5937,5998,6030,6031,6075,6110,6166,6175,5642,5906,6017,6107,6185,5344,5730,5913,6062,6178,5135
325,6672,8614,8595,8667,8775,8915,9069,9151,9215,9379,9418,9437,9515,9586,9683,9657,9673,9808,9852,9938,10016,9307,9706,9907,10091,10237,9068,9666,9924,10160,10405,8986
405,5842,7481,7599,7722,7863,8041,8211,8336,8482,8681,8938,8964,9085,9191,9378,9521,9532,9694,9807,9951,10042,9107,9635,9898,10130,10378,9025,9705,10091,10392,10659,8952
505,8709,14649,15552,15812,16232,16823,17427,17845,18500,19147,20211,20250,20520,20813,21116,21403,21402,21760,21911,22179,22335,20558,21610,22124,22539,23201,20349,21956,22725,23517,24249,20483
506,4665,7523,7799,7858,7982,8166,8416,8615,8923,9203,9919,9940,10065,10207,10364,10386,10387,10568,10681,10843,13812,12694,13243,13502,13800,14105,12345,13107,13487,13804,14116,11896
605,6555,7273,7432,7529,7615,7746,7997,8122,8286,8468,8462,8472,8593,8713,8900,8999,8981,9215,9338,9484,9583,8866,9339,9618,9888,10181,8969,9651,10005,10352,10702,9147
606,4754,6705,6731,6789,6875,7023,7243,7400,7737,8063,8349,8381,8605,8794,9005,9221,9254,9501,9684,9924,10054,9247,9791,10099,10461,10812,9408,10214,10625,11025,11475,9809
705,4580,6501,6610,6796,6990,7256,7432,7712,7982,8156,9311,9416,9563,9722,9870,9998,10176,10396,10542,10720,12685,12020,12503,12841,13162,13521,12552,13104,13393,13691,14049,12794
706,3797,4438,4440,4482,4520,4580,4800,4910,4985,5043,5052,5253,5296,5350,5379,5408,5616,5633,5643,5664,5660,5893,5957,5978,6006,6062,6165,6302,6344,6391,6475,6487
805,5198,6654,6767,6886,6971,7128,6900,7282,7597,7895,8454,7691,8185,8508,8772,8973,8209,8737,9001,9251,9377,8392,9031,9341,9617,9893,8579,9266,9605,9933,10236,8815
806,5219,10213,11705,11840,12049,12360,12082,12533,12942,13232,13739,12718,13162,13519,13815,14079,13148,13708,13980,14265,14402,13267,13938,14268,14609,14962,13663,14310,14640,14998,15401,14695
900,3482,3948,3988,4063,4113,4203,4269,4347,4450,4546,4559,4753,4797,4850,4871,4912,5116,5188,5222,5260,5280,5388,5444,5492,5519,5547,5669,5722,5739,5755,5778,5815
1000,3616,3868,3863,3928,3986,4033,4102,4164,4215,4242,4244,4233,4235,4258,4287,4294,4241,4299,4324,4355,4349,4171,4286,4317,4365,4423,4106,4267,4324,4373,4439,4033
1115,3329,4247,4237,4277,4311,4377,4497,4588,4684,4792,4825,4857,4926,4982,5101,5228,5355,5497,5584,5680,5739,5755,6003,6136,6276,6437,6510,6747,6872,6976,7114,6836
1116,5558,5870,5901,6043,6135,6264,6524,6725,6950,7162,7215,7341,7448,7517,7613,7690,7895,7998,8046,8118,8146,8653,8783,8856,8959,9064,9800,9813,9798,9803,9835,12539
1120,9942,11564,11541,11650,11808,11975,12262,12465,12742,13081,13178,13332,13579,13776,14041,14225,14468,14746,14914,15107,15211,15299,15674,15894,16097,16292,16503,16985,17204,17410,17653,17787
