faz_id,populationHS_2000,populationHS_2010,populationHS_2011,populationHS_2012,populationHS_2013,populationHS_2014,populationHS_2015,populationHS_2016,populationHS_2017,populationHS_2018,populationHS_2019,populationHS_2020,populationHS_2021,populationHS_2022,populationHS_2023,populationHS_2024,populationHS_2025,populationHS_2026,populationHS_2027,populationHS_2028,populationHS_2029,populationHS_2030,populationHS_2031,populationHS_2032,populationHS_2033,populationHS_2034,populationHS_2035,populationHS_2036,populationHS_2037,populationHS_2038,populationHS_2039,populationHS_2040
110,4683,4628,4605,4678,4763,4799,4905,4889,4905,4884,4841,5560,5545,5530,5514,5505,5678,5641,5622,5600,5587,6010,5960,5902,5874,5860,6335,6294,6257,6206,6166,6438
120,10692,10911,10955,11061,11188,11284,11248,11226,11347,11380,11291,11554,11664,11791,11872,11970,12155,12338,12370,12420,12449,12400,12639,12726,12749,12751,12696,12999,13047,13087,13104,12812
135,14030,15090,15117,15310,15515,15671,16005,15932,16024,16103,16047,18039,18091,18227,18304,18368,19338,19250,19224,19188,19124,20561,20442,20388,20344,20291,21974,21832,21770,21730,21663,22586
136,10950,10453,10504,10614,10784,10898,11099,10982,11013,11039,10952,11430,11366,11385,11424,11412,12048,11978,11960,11935,11896,12808,12720,12657,12594,12523,13576,13469,13391,13345,13271,13921
205,10616,10912,10903,11024,11158,11248,11451,11398,11440,11487,11408,11991,11859,11900,11922,11901,12470,12409,12335,12351,12306,13322,13208,13063,12990,12915,14074,13944,13843,13759,13671,14998
206,11727,12074,12100,12293,12399,12521,12727,12620,12651,12716,12603,13628,13602,13620,13677,13715,14470,14381,14291,14210,14197,16833,16702,16593,16502,16413,21057,20874,20676,20509,20367,28742
315,12438,13255,13334,13480,13678,13838,14058,13929,13962,13983,13902,13908,13778,13830,13957,13962,13970,14044,14131,14258,14238,13014,13522,13742,13925,14075,12236,13019,13404,13674,13909,11624
325,17046,21833,21824,22045,22258,22468,22821,22641,22623,22780,22757,22801,22766,22827,23017,22935,22983,23217,23318,23506,23648,21976,22765,23146,23519,23803,21094,22388,22917,23377,23882,20677
405,16416,20757,21108,21451,21807,22034,22480,22457,22622,22819,23269,23318,23386,23569,23894,24170,24193,24490,24785,25102,25224,22881,23989,24549,25005,25498,22284,23735,24534,25146,25676,21570
505,26769,43557,45900,46607,47635,48662,50312,50323,51391,52365,54637,54736,54812,55205,55658,56115,56116,56790,57073,57564,57815,53188,55411,56401,57139,58418,51206,54747,56274,57797,59147,49908
506,14300,22449,23052,23193,23516,23811,24512,24518,24942,25304,27057,27107,27172,27409,27631,27598,27594,27885,28142,28455,35780,32878,34117,34660,35250,35844,31351,33097,33902,34566,35138,29679
605,18001,19495,19890,20124,20317,20541,21174,21118,21296,21505,21323,21345,21411,21637,21990,22168,22119,22594,22916,23214,23409,21650,22594,23189,23745,24331,21407,22854,23593,24332,25100,21492
606,13204,18619,18734,18849,19060,19283,19845,19832,20392,20907,21473,21554,21877,22219,22645,23060,23142,23624,24046,24633,24888,22818,24019,24648,25442,26154,22771,24577,25577,26374,27314,23277
705,12911,18466,18767,19262,19803,20230,20720,20889,21331,21571,24511,24800,24903,25190,25439,25661,26162,26558,26871,27219,31989,30310,31429,32128,32691,33449,31188,32412,32985,33574,34285,31224
706,10729,12141,12153,12265,12378,12443,13050,13086,13160,13186,13134,13616,13585,13655,13688,13702,14163,14171,14201,14226,14205,14796,14926,14918,14957,15029,15228,15539,15603,15668,15824,15818
805,15703,19325,19658,19967,20198,20416,19777,20119,20539,20985,22166,20205,20904,21476,21949,22313,20467,21487,22084,22637,22863,20465,21833,22507,23086,23562,20497,21978,22713,23357,23939,20724
806,15422,28455,32949,33311,33820,34321,33590,34014,34667,35051,36169,33561,34162,34850,35423,35925,33576,34748,35350,35974,36230,33335,34849,35544,36251,36965,33753,35200,35953,36674,37479,35564
900,8314,9606,9708,9902,10041,10227,10382,10375,10524,10677,10613,11065,11073,11167,11197,11294,11767,11870,11920,11967,12013,12251,12337,12429,12471,12501,12772,12841,12853,12863,12892,12954
1000,9466,9950,9967,10167,10319,10417,10610,10599,10668,10699,10648,10620,10560,10559,10605,10606,10461,10561,10604,10651,10614,10190,10428,10490,10573,10718,9948,10329,10440,10519,10643,9652
1115,8800,11221,11225,11348,11467,11594,11925,11976,12095,12228,12239,12338,12356,12441,12675,12936,13281,13626,13867,14132,14225,14350,14915,15185,15518,15874,16242,16738,17035,17240,17518,17013
1116,13171,13910,14028,14420,14641,14892,15521,15743,16088,16393,16404,16744,16896,17001,17164,17306,17784,17994,18145,18348,18393,19486,19740,19871,20071,20266,21866,21907,21836,21844,21881,27536
1120,26542,29621,29619,29906,30369,30630,31425,31420,31701,32233,32211,32551,32826,33167,33664,34024,34540,35070,35459,35962,36189,36319,37173,37655,38113,38462,38819,39828,40278,40706,41150,41654
1130,4026,4630,4679,4762,4831,4856,4979,4956,5055,5129,5175,5276,5406,5499,5541,5617,5670,5850,5968,6091,6178,5937,6180,6372,6511,6629,6418,6667,6784,6923,7027,6814
1200,13619,15753,15744,15867,16024,16103,17180,17220,17421,17502,17435,18384,18433,18538,18675,18746,19568,19555,19529,19578,19617,20537,20494,20454,20440,20441,21258,21341,21304,21342,21365,21934
1310,23867,25345,25425,25756,26131,26345,26524,26917,27295,27475,27320,28112,28270,28494,28594,28581,29287,29245,29265,29274,29186,30454,30383,30340,30235,30171,31814,31657,31543,31452,31360,33150
1320,17131,17321,17404,17687,17907,18055,18158,18047,18141,18190,18121,18343,18198,18179,18140,18131,18337,18300,18290,18266,18228,18937,18885,18834,18809,18793,19862,19772,19704,19604,19613,20609
1330,19124,21173,22102,22431,22678,22892,23167,23305,23563,23683,23513,24578,24701,24902,25057,25107,25859,25832,25799,25772,25737,27024,26877,26757,26686,26637,28043,27900,27806,27736,27627,28828
1410,12981,13488,13526,13768,13925,14070,14289,14431,14513,14551,14470,15811,16112,16329,16420,16494,17876,17925,17880,17866,17817,19090,19028,18971,18876,18771,20846,20757,20643,20545,20411,22769
1420,11413,12806,12824,12999,13129,13288,13532,13648,13779,13843,13765,16467,17470,17928,18207,18441,22620,23131,23453,23711,23937,31114,30830,30617,30348,30151,37593,37179,36869,36585,36270,45018
1505,15543,18105,18234,18477,18666,18792,19290,19214,19237,19326,19261,20438,20281,20261,20325,20318,21449,21343,21296,21266,21185,21888,21937,21959,21944,21929,24018,23889,23803,23712,23646,26380
1506,20656,21262,21225,21388,21623,21845,22483,22422,22551,22734,22865,24184,24125,24178,24267,24327,26140,26070,26073,26075,26063,29563,29481,29456,29459,29472,32752,32534,32362,32227,32099,37464
