faz_id,households_2000,households_2010,households_2011,households_2012,households_2013,households_2014,households_2015,households_2016,households_2017,households_2018,households_2019,households_2020,households_2021,households_2022,households_2023,households_2024,households_2025,households_2026,households_2027,households_2028,households_2029,households_2030,households_2031,households_2032,households_2033,households_2034,households_2035,households_2036,households_2037,households_2038,households_2039,households_2040
8935.0,3209.0,4432.0,4402.0,4435.0,4457.0,4506.0,4796.0,4856.0,4911.0,4953.0,5149.0,5352.0,5389.0,5431.0,5471.0,5488.0,5833.0,5928.0,5932.0,5984.0,5998.0,6313.0,6399.0,6421.0,6458.0,6513.0,6877.0,6968.0,7001.0,7055.0,7119.0,7539.0
8927.0,1702.0,1962.0,1961.0,1975.0,1994.0,2018.0,2082.0,2105.0,2123.0,2129.0,2139.0,2160.0,2163.0,2164.0,2182.0,2189.0,2200.0,2210.0,2220.0,2228.0,2234.0,2227.0,2249.0,2250.0,2275.0,2315.0,2308.0,2359.0,2378.0,2412.0,2457.0,2453.0
8926.0,4255.0,5051.0,5027.0,5060.0,5117.0,5185.0,5441.0,5602.0,5710.0,5813.0,5824.0,5938.0,6001.0,6050.0,6106.0,6111.0,6212.0,6261.0,6295.0,6318.0,6332.0,6368.0,6484.0,6523.0,6617.0,6694.0,6734.0,6896.0,6963.0,7065.0,7184.0,7247.0
8936.0,5313.0,6248.0,6230.0,6289.0,6353.0,6411.0,6592.0,6677.0,6784.0,6865.0,7362.0,7424.0,7449.0,7498.0,7556.0,7593.0,7664.0,7740.0,7761.0,7809.0,7820.0,7848.0,7915.0,7924.0,7967.0,8029.0,8079.0,8164.0,8206.0,8298.0,8411.0,8469.0
8500.0,4419.0,6705.0,6678.0,6752.0,6896.0,7050.0,7408.0,7531.0,7716.0,7885.0,7928.0,8406.0,8405.0,8415.0,8455.0,8493.0,9025.0,9057.0,9103.0,9161.0,9194.0,9504.0,9641.0,9741.0,9884.0,10056.0,9818.0,10132.0,10308.0,10588.0,10954.0,10407.0
8406.0,493.0,558.0,552.0,555.0,560.0,563.0,573.0,577.0,595.0,605.0,605.0,612.0,612.0,625.0,633.0,632.0,662.0,677.0,684.0,709.0,716.0,719.0,748.0,766.0,790.0,819.0,797.0,846.0,863.0,898.0,940.0,907.0
8320.0,3571.0,4110.0,4096.0,4156.0,4194.0,4247.0,4357.0,4373.0,4401.0,4440.0,4692.0,4687.0,4733.0,4781.0,4846.0,4877.0,4969.0,5005.0,5011.0,5055.0,5073.0,5200.0,5211.0,5227.0,5259.0,5311.0,5462.0,5458.0,5486.0,5527.0,5572.0,5726.0
8925.0,3784.0,4894.0,4866.0,4902.0,4948.0,5013.0,5356.0,5451.0,5541.0,5630.0,5645.0,6142.0,6175.0,6216.0,6266.0,6291.0,6802.0,6859.0,6881.0,6920.0,6947.0,7440.0,7529.0,7574.0,7643.0,7734.0,8228.0,8289.0,8319.0,8393.0,8474.0,9110.0
8937.0,3301.0,3761.0,3746.0,3755.0,3835.0,3932.0,4621.0,4910.0,5174.0,5415.0,5476.0,5609.0,5746.0,5842.0,5982.0,6078.0,6169.0,6310.0,6411.0,6527.0,6626.0,6602.0,6799.0,6928.0,7107.0,7284.0,7286.0,7523.0,7682.0,7855.0,8059.0,8015.0
8405.0,3377.0,5077.0,5084.0,5170.0,5259.0,5389.0,5669.0,5727.0,5895.0,6053.0,6470.0,6458.0,6536.0,6638.0,6758.0,6852.0,7075.0,7176.0,7240.0,7315.0,7371.0,7637.0,7679.0,7710.0,7758.0,7857.0,8170.0,8216.0,8234.0,8305.0,8413.0,8649.0
8310.0,9972.0,11324.0,11308.0,11447.0,11610.0,11849.0,12285.0,12388.0,12613.0,12869.0,13055.0,13034.0,13155.0,13297.0,13425.0,13583.0,13813.0,13900.0,13987.0,14086.0,14161.0,14436.0,14469.0,14518.0,14617.0,14797.0,15219.0,15251.0,15329.0,15496.0,15719.0,16159.0
8910.0,4641.0,5364.0,5334.0,5340.0,5391.0,5465.0,5699.0,5825.0,5974.0,6099.0,6203.0,6215.0,6283.0,6375.0,6453.0,6505.0,6561.0,6694.0,6763.0,6822.0,6855.0,6897.0,7068.0,7147.0,7277.0,7392.0,7403.0,7605.0,7716.0,7849.0,8043.0,8051.0
7905.0,5332.0,7433.0,7389.0,7460.0,7578.0,7788.0,8528.0,8643.0,8929.0,9219.0,9939.0,9721.0,9945.0,10157.0,10371.0,10496.0,10534.0,10790.0,10878.0,11037.0,11115.0,11247.0,11385.0,11455.0,11585.0,11742.0,12038.0,12152.0,12226.0,12385.0,12566.0,13108.0
