building_type_id,non_res_job_spaces_Usim_package_defn_2000,non_res_job_spaces_Usim_package_defn_2040
1.0,8684.0,8403.0
2.0,35421.0,35110.0
3.0,337790.0,672073.0
4.0,2254.0,2243.0
5.0,32658.0,32613.0
6.0,5087.0,5056.0
7.0,27125.0,26257.0
8.0,96406.0,109726.0
9.0,41.0,41.0
10.0,3809.0,2696.0
11.0,1.0,1.0
12.0,71655.0,64381.0
13.0,636908.0,987977.0
14.0,20885.0,18674.0
15.0,764.0,764.0
16.0,41437.0,38365.0
17.0,16021.0,15022.0
18.0,80114.0,79984.0
19.0,2660.0,2568.0
20.0,8750.0,7789.0
21.0,193078.0,358562.0
22.0,21173.0,20174.0
