faz_id,population_2000,population_2010,population_2020,population_2025,population_2030,population_2035,population_2040
8935.0,9011.0,11789.0,12859.0,13657.0,14646.0,16034.0,17570.0
8927.0,4718.0,5623.0,5931.0,6132.0,6736.0,7438.0,7806.0
8926.0,11969.0,13251.0,14729.0,16187.0,17995.0,20375.0,22028.0
8936.0,14758.0,16431.0,17457.0,18475.0,19440.0,20388.0,21051.0
8500.0,12274.0,18282.0,19297.0,20019.0,20961.0,22516.0,26578.0
8406.0,1392.0,1748.0,1931.0,2259.0,2677.0,3284.0,3530.0
8320.0,11552.0,12021.0,12444.0,13183.0,14185.0,16027.0,20356.0
8925.0,11195.0,13804.0,15139.0,16663.0,18130.0,20630.0,23466.0
8937.0,9016.0,10624.0,14345.0,17129.0,20357.0,24303.0,28975.0
8405.0,10570.0,15992.0,17375.0,18939.0,21102.0,23366.0,25748.0
8310.0,26645.0,29335.0,31716.0,32725.0,33584.0,35331.0,38257.0
8910.0,12656.0,14371.0,16176.0,17969.0,20016.0,22630.0,24708.0
7905.0,15692.0,21547.0,24967.0,27611.0,29624.0,31903.0,35452.0
7606.0,1410.0,3381.0,4655.0,5299.0,5660.0,6113.0,6404.0
7805.0,15497.0,20446.0,23056.0,24934.0,26759.0,28639.0,29803.0
8220.0,16453.0,16490.0,17271.0,18109.0,19855.0,21667.0,22194.0
8000.0,11022.0,12521.0,14487.0,15089.0,15587.0,16050.0,16827.0
8906.0,7869.0,8445.0,9019.0,9408.0,9885.0,10536.0,10621.0
8210.0,7665.0,7741.0,9671.0,11648.0,14003.0,15188.0,14867.0
9020.0,12685.0,14972.0,18515.0,20348.0,22275.0,23995.0,25201.0
8125.0,15712.0,16471.0,19761.0,20290.0,20693.0,21514.0,22360.0
8126.0,11598.0,12103.0,14121.0,15193.0,16458.0,17744.0,18932.0
8905.0,8012.0,9801.0,10323.0,10699.0,11188.0,11825.0,12258.0
7806.0,3987.0,4337.0,6216.0,7551.0,8807.0,10351.0,11819.0
7700.0,7866.0,7776.0,8484.0,8619.0,8711.0,8734.0,8735.0
