large_area_id,population_2000,population_2010,population_2020,population_2025,population_2030,population_2035,population_2040
1.0,37503.0,44467.0,50592.0,55393.0,61179.0,68163.0,75402.0
2.0,213635.0,251271.0,286568.0,304507.0,323467.0,346047.0,373587.0
3.0,280176.0,334936.0,370442.0,384812.0,397588.0,412028.0,433275.0
4.0,65811.0,76528.0,84328.0,91356.0,99215.0,109010.0,117227.0
5.0,65155.0,65540.0,77132.0,82217.0,90132.0,101710.0,109315.0
6.0,532312.0,582918.0,628948.0,639532.0,646804.0,651396.0,651351.0
7.0,426098.0,495790.0,551807.0,573067.0,593010.0,613311.0,639789.0
8.0,250152.0,258853.0,292329.0,303957.0,313261.0,321402.0,332763.0
9.0,163566.0,184807.0,208484.0,216135.0,224207.0,232319.0,249182.0
10.0,211249.0,250733.0,281618.0,299385.0,317335.0,333639.0,349647.0
11.0,43888.0,56200.0,62014.0,65886.0,71398.0,77355.0,82884.0
12.0,189123.0,199952.0,216961.0,223295.0,230357.0,239991.0,247802.0
13.0,123252.0,124952.0,134977.0,137811.0,140241.0,141820.0,143010.0
14.0,311643.0,391922.0,440776.0,478346.0,514639.0,553086.0,596729.0
15.0,54129.0,62484.0,70861.0,77140.0,84309.0,91874.0,98350.0
16.0,59594.0,67019.0,81264.0,89172.0,97671.0,106057.0,113278.0
17.0,111675.0,115178.0,151944.0,166723.0,178666.0,189172.0,202581.0
18.0,53227.0,62177.0,71801.0,77858.0,84384.0,90472.0,95970.0
