faz_id	jobs_2000	jobs_2010	jobs_2020	jobs_2025	jobs_2030	jobs_2035	jobs_2040
8935.0	3616.0	3899.0	4428.0	4825.0	5432.0	5754.0	6345.0
8927.0	487.0	1202.0	1270.0	1274.0	1293.0	1319.0	1350.0
8926.0	1231.0	1376.0	1795.0	2092.0	2364.0	2939.0	4002.0
8936.0	1755.0	2490.0	3099.0	3332.0	3440.0	3674.0	3790.0
8500.0	8953.0	7181.0	10874.0	11999.0	12734.0	14504.0	16532.0
8406.0	236.0	169.0	248.0	241.0	248.0	272.0	280.0
8320.0	5103.0	5637.0	8143.0	9499.0	10847.0	12176.0	14944.0
8925.0	1691.0	1776.0	2299.0	2456.0	2688.0	2947.0	3365.0
8937.0	2963.0	7505.0	7236.0	7187.0	7089.0	7108.0	7453.0
8405.0	459.0	695.0	850.0	872.0	933.0	1005.0	1079.0
8310.0	8098.0	7699.0	9871.0	10367.0	10716.0	11221.0	11733.0
8910.0	1773.0	2029.0	2837.0	2874.0	3024.0	3336.0	3458.0
7905.0	3270.0	4098.0	5014.0	5323.0	5652.0	6208.0	6527.0
7606.0	526.0	696.0	718.0	735.0	759.0	774.0	800.0
7805.0	1511.0	1541.0	2006.0	2167.0	2352.0	2618.0	3053.0
8220.0	11623.0	11217.0	12728.0	13434.0	14365.0	15743.0	18549.0
8000.0	30093.0	36739.0	37773.0	37832.0	38234.0	39276.0	40237.0
8906.0	1141.0	1170.0	1336.0	1332.0	1380.0	1393.0	1433.0
8210.0	15070.0	14189.0	19341.0	21002.0	24525.0	33844.0	43874.0
9020.0	2641.0	3085.0	3789.0	3940.0	4167.0	4505.0	4859.0
8125.0	4469.0	4073.0	5588.0	5810.0	5986.0	7023.0	8082.0
8126.0	5706.0	4799.0	6821.0	6969.0	7137.0	7858.0	9772.0
8905.0	684.0	894.0	988.0	991.0	1037.0	1068.0	1102.0
7806.0	921.0	1471.0	1919.0	1975.0	2147.0	2303.0	2519.0
7700.0	4377.0	3788.0	5488.0	5533.0	5612.0	5686.0	5863.0
7526.0	6118.0	7669.0	9100.0	9544.0	9966.0	10338.0	11087.0
7340.0	2511.0	2857.0	3841.0	3932.0	3959.0	4057.0	4207.0
7605.0	739.0	952.0	1055.0	1240.0	1419.0	1797.0	2115.0
7537.0	13787.0	13291.0	14015.0	14670.0	15416.0	16155.0	17330.0
8115.0	9136.0	9038.0	9861.0	10065.0	10210.0	11343.0	12673.0
7335.0	7719.0	8332.0	10034.0	10493.0	10822.0	11199.0	11842.0
8600.0	8434.0	8527.0	11233.0	11710.0	12322.0	13094.0	14012.0
7425.0	2005.0	3233.0	3954.0	3998.0	4357.0	4927.0	5423.0
7535.0	4673.0	4722.0	5216.0	5593.0	5767.0	6661.0	8229.0
7525.0	1719.0	1801.0	2400.0	2447.0	2511.0	2637.0	2869.0
7436.0	1781.0	1828.0	2361.0	2414.0	2515.0	2593.0	2653.0
9019.0	2974.0	4519.0	5287.0	5437.0	5725.0	5984.0	6313.0
7026.0	1025.0	1129.0	1619.0	1648.0	1699.0	1758.0	1818.0
7205.0	5655.0	4938.0	7078.0	7222.0	7430.0	7717.0	8375.0
7515.0	5783.0	6346.0	7287.0	7633.0	7978.0	8343.0	8446.0
7320.0	6156.0	6701.0	7781.0	8444.0	9484.0	10621.0	11610.0
7206.0	13413.0	11382.0	16492.0	17987.0	20790.0	25158.0	33070.0
7315.0	2665.0	3288.0	4157.0	4271.0	4428.0	4570.0	4686.0
7435.0	2920.0	2863.0	3858.0	4284.0	4618.0	5039.0	5174.0
7316.0	2903.0	3143.0	4425.0	4571.0	4685.0	4822.0	5101.0
7025.0	8415.0	8598.0	10943.0	12026.0	12713.0	13427.0	14434.0
7415.0	9121.0	10677.0	12431.0	12845.0	13373.0	13593.0	14014.0
7100.0	8174.0	7396.0	9956.0	10838.0	11663.0	14522.0	18645.0
7015.0	4338.0	3665.0	5457.0	5511.0	5893.0	6262.0	6578.0
9908.0	2175.0	3881.0	4260.0	4391.0	4499.0	4544.0	4626.0
6410.0	13292.0	12788.0	15353.0	15163.0	16027.0	17129.0	21054.0
6420.0	6982.0	8185.0	9147.0	9068.0	9146.0	8529.0	8586.0
5535.0	5696.0	4525.0	6008.0	6087.0	5923.0	5484.0	5354.0
5600.0	10524.0	12400.0	13745.0	14192.0	14540.0	15205.0	15620.0
5546.0	11913.0	9221.0	11981.0	12205.0	12410.0	13177.0	14095.0
4706.0	2139.0	2120.0	2528.0	2581.0	2648.0	2816.0	2882.0
6605.0	1865.0	2263.0	2496.0	2524.0	2584.0	2670.0	2764.0
6910.0	1759.0	2154.0	2535.0	2861.0	3204.0	3655.0	4573.0
6606.0	1241.0	1056.0	1521.0	1572.0	1611.0	1707.0	1925.0
9909.0	801.0	1124.0	1433.0	1454.0	1472.0	1510.0	1577.0
9011.0	5406.0	5011.0	6004.0	6043.0	6077.0	6186.0	6291.0
5525.0	6201.0	5650.0	7473.0	7524.0	7453.0	7396.0	7525.0
