tract10_id	jobs_2020	jobs_2030	jobs_2040
32307.0	1241.0	1320.0	1349.0
28802.0	3144.0	3330.0	3401.0
20100.0	530.0	539.0	569.0
25101.0	1372.0	1544.0	2570.0
29601.0	1679.0	1983.0	2256.0
26200.0	57013.0	60397.0	71254.0
8600.0	5590.0	5616.0	6168.0
8100.0	73038.0	81669.0	84841.0
30503.0	2703.0	2745.0	2808.0
30501.0	16799.0	19027.0	22951.0
29101.0	206.0	261.0	401.0
29102.0	548.0	607.0	638.0
10900.0	20240.0	21032.0	22370.0
10402.0	646.0	659.0	753.0
9300.0	49085.0	53404.0	58308.0
10001.0	5111.0	5326.0	5868.0
11002.0	799.0	833.0	1172.0
26400.0	4244.0	4668.0	5299.0
26300.0	12161.0	13635.0	14897.0
26100.0	803.0	935.0	1090.0
26002.0	1416.0	1467.0	1876.0
28600.0	1063.0	1117.0	1249.0
30504.0	1685.0	1660.0	1727.0
29700.0	7417.0	8304.0	10105.0
28300.0	6368.0	16856.0	26651.0
29206.0	43866.0	46427.0	49309.0
27200.0	6920.0	7273.0	8074.0
11700.0	3189.0	3414.0	4082.0
9500.0	3898.0	4652.0	5795.0
29205.0	1912.0	1962.0	2051.0
31301.0	1230.0	1450.0	1841.0
25701.0	1242.0	1506.0	1824.0
25302.0	15615.0	16691.0	21150.0
23201.0	1210.0	1096.0	1264.0
22003.0	1461.0	1497.0	1627.0
7000.0	2032.0	2012.0	2201.0
11200.0	7349.0	7574.0	8610.0
30600.0	3210.0	3449.0	4251.0
25301.0	7607.0	8149.0	8927.0
8800.0	260.0	274.0	425.0
8900.0	1673.0	1741.0	1947.0
9000.0	6268.0	7143.0	7997.0
2500.0	743.0	761.0	840.0
9702.0	682.0	751.0	794.0
29902.0	3717.0	3863.0	4102.0
32323.0	1011.0	1113.0	1141.0
31703.0	1204.0	1276.0	1510.0
23804.0	38852.0	53822.0	61377.0
31502.0	1669.0	1703.0	2004.0
32325.0	358.0	489.0	992.0
31202.0	1378.0	1374.0	1429.0
28902.0	1525.0	1915.0	3394.0
24500.0	1019.0	1084.0	1173.0
28200.0	1683.0	1679.0	2340.0
11600.0	1073.0	1109.0	1213.0
12000.0	331.0	353.0	415.0
27300.0	1616.0	1702.0	1883.0
28100.0	1682.0	1748.0	1837.0
32007.0	924.0	937.0	1013.0
10500.0	4363.0	4920.0	7590.0
30100.0	909.0	986.0	1067.0
6700.0	8561.0	9412.0	10943.0
9600.0	2171.0	2138.0	2270.0
9800.0	2074.0	2300.0	2569.0
9900.0	8175.0	8685.0	10536.0
9701.0	978.0	977.0	1170.0
29801.0	1953.0	1996.0	2040.0
6900.0	705.0	730.0	869.0
10600.0	1516.0	1516.0	1884.0
32215.0	348.0	406.0	463.0
4400.0	1987.0	2128.0	2350.0
30801.0	11337.0	12425.0	14697.0
5000.0	3658.0	3658.0	3954.0
29502.0	1242.0	1275.0	1552.0
32103.0	13085.0	15584.0	25433.0
22005.0	4945.0	5223.0	6505.0
11001.0	927.0	934.0	964.0
27500.0	1451.0	1579.0	1953.0
25805.0	764.0	808.0	913.0
25806.0	3449.0	3496.0	3835.0
25400.0	2206.0	2346.0	3076.0
2800.0	1178.0	1201.0	1352.0
32208.0	14544.0	18916.0	27982.0
7800.0	1249.0	1276.0	1349.0
5400.0	5284.0	5269.0	5810.0
30311.0	715.0	743.0	779.0
29403.0	730.0	751.0	856.0
1400.0	722.0	712.0	742.0
32210.0	3702.0	4316.0	6280.0
29003.0	1615.0	1873.0	2052.0
20402.0	922.0	927.0	881.0
30401.0	4055.0	5203.0	6143.0
4301.0	2226.0	2513.0	3840.0
30308.0	578.0	609.0	656.0
30312.0	782.0	811.0	1053.0
21700.0	2453.0	2266.0	2356.0
29305.0	542.0	574.0	595.0
27400.0	2861.0	3102.0	3588.0
32401.0	1743.0	1784.0	2003.0
32207.0	1241.0	1252.0	1272.0
27702.0	844.0	864.0	969.0
51917.0	364.0	396.0	433.0
21600.0	1268.0	1221.0	1505.0
31400.0	4712.0	5081.0	5538.0
70207.0	2650.0	2695.0	3104.0
22500.0	9446.0	11356.0	15490.0
31501.0	295.0	310.0	328.0
31603.0	1886.0	2116.0	2455.0
32702.0	970.0	1643.0	1391.0
27701.0	2726.0	2847.0	3452.0
31601.0	712.0	788.0	829.0
31204.0	974.0	979.0	1151.0
12100.0	181.0	192.0	232.0
26600.0	767.0	796.0	896.0
26001.0	948.0	1046.0	1251.0
25006.0	240.0	281.0	347.0
31906.0	431.0	455.0	565.0
31800.0	1082.0	1134.0	1344.0
32003.0	1720.0	1822.0	2057.0
32002.0	436.0	460.0	535.0
3300.0	1299.0	1334.0	1506.0
26700.0	667.0	695.0	864.0
11402.0	1495.0	1522.0	1690.0
32324.0	626.0	987.0	719.0
32313.0	12371.0	16675.0	22044.0
32402.0	762.0	793.0	963.0
32315.0	645.0	696.0	761.0
32102.0	543.0	583.0	686.0
32703.0	1336.0	1688.0	1753.0
32602.0	2042.0	2074.0	2475.0
32800.0	622.0	778.0	1186.0
4800.0	3199.0	3272.0	3410.0
24300.0	5697.0	5850.0	6408.0
23300.0	1631.0	1671.0	1667.0
23100.0	218.0	240.0	272.0
32213.0	473.0	491.0	530.0
32601.0	1128.0	1154.0	1424.0
8001.0	11603.0	12399.0	12687.0
2900.0	896.0	828.0	1018.0
3000.0	1220.0	1232.0	1491.0
32309.0	18752.0	24274.0	32722.0
32320.0	1175.0	1214.0	1302.0
2200.0	453.0	466.0	497.0
32500.0	1524.0	1604.0	2021.0
20200.0	1911.0	1999.0	2073.0
20800.0	566.0	585.0	593.0
51912.0	2948.0	3569.0	4222.0
20300.0	3191.0	4067.0	7597.0
30901.0	2118.0	2269.0	2555.0
11401.0	593.0	647.0	707.0
28402.0	18913.0	20533.0	23201.0
22803.0	61112.0	63651.0	65489.0
4900.0	5374.0	5367.0	5713.0
31704.0	1176.0	1201.0	1680.0
401.0	2393.0	2457.0	3390.0
24601.0	743.0	762.0	813.0
21904.0	2850.0	3003.0	3393.0
6100.0	5105.0	5106.0	5535.0
6600.0	7531.0	8230.0	9885.0
25200.0	830.0	902.0	1034.0
32704.0	5026.0	6316.0	9887.0
29307.0	610.0	669.0	773.0
21500.0	635.0	659.0	582.0
29802.0	897.0	1065.0	1245.0
7401.0	1023.0	1072.0	1162.0
29503.0	3349.0	3423.0	3033.0
7402.0	1514.0	1621.0	1934.0
28500.0	2508.0	2691.0	3076.0
22102.0	715.0	785.0	1045.0
21802.0	8366.0	8414.0	8389.0
32322.0	294.0	316.0	367.0
25602.0	719.0	777.0	858.0
23700.0	31717.0	35257.0	39794.0
300.0	700.0	1052.0	898.0
10300.0	2874.0	2935.0	3615.0
3900.0	437.0	446.0	478.0
7300.0	30187.0	41970.0	45568.0
6200.0	915.0	962.0	1030.0
21000.0	1812.0	1482.0	1587.0
5600.0	1103.0	1095.0	1154.0
31605.0	910.0	2165.0	3526.0
7500.0	7744.0	8242.0	8969.0
23401.0	13605.0	13555.0	13706.0
22605.0	5695.0	6386.0	6324.0
11800.0	1620.0	1626.0	1978.0
11900.0	343.0	356.0	444.0
25102.0	1232.0	1325.0	1771.0
25005.0	1660.0	1726.0	2171.0
32214.0	1592.0	1682.0	1809.0
3100.0	668.0	691.0	767.0
4000.0	321.0	331.0	339.0
32329.0	807.0	2084.0	2147.0
22604.0	2755.0	2946.0	3144.0
32319.0	9867.0	10125.0	12017.0
32311.0	816.0	867.0	1003.0
27900.0	7693.0	7937.0	9482.0
21906.0	4360.0	4227.0	4207.0
10401.0	504.0	521.0	648.0
24000.0	6187.0	6318.0	7049.0
28403.0	3086.0	3279.0	3354.0
27800.0	269.0	286.0	314.0
28700.0	605.0	636.0	682.0
8002.0	5970.0	7917.0	8401.0
30201.0	924.0	965.0	1132.0
23604.0	956.0	1106.0	1334.0
24100.0	959.0	996.0	1206.0
31205.0	897.0	956.0	1129.0
30802.0	438.0	468.0	533.0
22203.0	871.0	907.0	1023.0
22201.0	904.0	951.0	1057.0
30003.0	2189.0	2280.0	2479.0
31903.0	1194.0	1241.0	1489.0
30202.0	2582.0	2625.0	2374.0
200.0	1184.0	1163.0	1851.0
31100.0	2685.0	2716.0	2983.0
28801.0	3229.0	3830.0	5409.0
32203.0	857.0	882.0	1065.0
22902.0	766.0	840.0	890.0
5900.0	3711.0	4051.0	4612.0
1300.0	3657.0	3972.0	4961.0
27100.0	1205.0	1238.0	1344.0
22901.0	633.0	660.0	677.0
23000.0	2836.0	2978.0	3057.0
30004.0	564.0	610.0	642.0
22801.0	3255.0	3480.0	3920.0
5802.0	5114.0	5760.0	7057.0
5700.0	1854.0	1995.0	2813.0
22101.0	1209.0	1274.0	1853.0
21903.0	8603.0	9206.0	12033.0
29303.0	2164.0	2128.0	2179.0
6000.0	3924.0	3899.0	4077.0
24702.0	1555.0	1876.0	2219.0
23900.0	700.0	731.0	779.0
11500.0	703.0	702.0	898.0
20500.0	1739.0	1580.0	1643.0
32327.0	593.0	612.0	729.0
30005.0	936.0	1076.0	1185.0
9400.0	7552.0	8267.0	9341.0
29602.0	221.0	253.0	308.0
20700.0	3063.0	3284.0	4654.0
23803.0	13803.0	16566.0	27405.0
1200.0	6598.0	6655.0	8408.0
20600.0	533.0	575.0	631.0
52113.0	305.0	322.0	379.0
21803.0	4385.0	4839.0	5967.0
22603.0	1663.0	1739.0	2060.0
23601.0	8638.0	9385.0	10074.0
30902.0	1068.0	1150.0	1424.0
32211.0	996.0	1062.0	1136.0
29304.0	460.0	520.0	643.0
20900.0	3763.0	3444.0	3598.0
20401.0	1158.0	1161.0	1026.0
29901.0	604.0	649.0	728.0
32212.0	898.0	947.0	1020.0
26801.0	1152.0	1161.0	1428.0
22802.0	2016.0	2813.0	3842.0
32318.0	807.0	861.0	976.0
70307.0	435.0	456.0	482.0
31604.0	610.0	655.0	725.0
24602.0	807.0	854.0	1215.0
8300.0	8982.0	9093.0	9297.0
