tract10_id	population_2020	population_2030	population_2040
32307.0	7056.0	7235.0	7251.0
28802.0	6648.0	7123.0	8795.0
20100.0	3512.0	3590.0	3890.0
25101.0	6914.0	7793.0	8116.0
29601.0	8288.0	9048.0	9326.0
26200.0	6287.0	7248.0	8206.0
8600.0	3454.0	3939.0	4093.0
8100.0	5456.0	6769.0	6864.0
30503.0	4007.0	4555.0	5368.0
30501.0	1733.0	1865.0	1950.0
29101.0	2508.0	2989.0	3890.0
29102.0	6017.0	5937.0	5578.0
10900.0	1359.0	1391.0	1489.0
10402.0	5030.0	4979.0	4838.0
9300.0	3198.0	3642.0	3709.0
10001.0	3576.0	3631.0	3751.0
11002.0	3690.0	3753.0	3756.0
26400.0	6396.0	6639.0	7322.0
26300.0	2354.0	2613.0	2623.0
26100.0	9364.0	10315.0	11496.0
26002.0	7400.0	7867.0	8332.0
28600.0	7200.0	7388.0	7527.0
30504.0	4794.0	4887.0	5051.0
29700.0	8515.0	8903.0	8999.0
28300.0	6424.0	6677.0	8125.0
29206.0	2896.0	3216.0	4990.0
27200.0	3161.0	3364.0	3417.0
11700.0	5839.0	5992.0	6023.0
9500.0	6237.0	6288.0	6498.0
29205.0	3836.0	4239.0	6304.0
31301.0	3559.0	4717.0	5767.0
25701.0	5946.0	6711.0	9453.0
25302.0	4268.0	4334.0	4202.0
23201.0	5450.0	5495.0	5609.0
22003.0	5607.0	5720.0	5960.0
7000.0	8311.0	8524.0	8425.0
11200.0	3898.0	3964.0	3998.0
30600.0	5929.0	6006.0	6047.0
25301.0	5800.0	6203.0	6532.0
8800.0	3739.0	3806.0	3828.0
8900.0	4764.0	4828.0	4918.0
9000.0	2542.0	2819.0	2976.0
2500.0	2778.0	2752.0	2716.0
9702.0	5416.0	5446.0	5430.0
29902.0	6391.0	8220.0	8483.0
32323.0	5839.0	6390.0	6626.0
31703.0	8850.0	9445.0	10032.0
23804.0	8073.0	11926.0	13871.0
31502.0	4724.0	5739.0	6828.0
32325.0	6957.0	7809.0	8925.0
31202.0	6248.0	6830.0	7202.0
28902.0	6314.0	7243.0	8762.0
24500.0	5153.0	5277.0	5160.0
28200.0	5681.0	5977.0	6507.0
11600.0	6972.0	7057.0	7063.0
12000.0	3610.0	3666.0	3651.0
27300.0	6205.0	6498.0	6476.0
28100.0	2271.0	2647.0	3087.0
32007.0	3955.0	4650.0	4910.0
10500.0	6258.0	6374.0	6286.0
30100.0	8615.0	9003.0	9212.0
6700.0	6897.0	7557.0	10143.0
9600.0	5613.0	5799.0	5771.0
9800.0	6433.0	6665.0	6519.0
9900.0	6201.0	6517.0	6814.0
9701.0	6123.0	6269.0	6279.0
29801.0	8303.0	8917.0	8996.0
6900.0	4315.0	4374.0	4410.0
10600.0	7784.0	8001.0	8068.0
32215.0	4798.0	6805.0	9027.0
4400.0	6200.0	6341.0	6222.0
30801.0	4872.0	4703.0	6626.0
5000.0	3701.0	3795.0	3755.0
29502.0	7734.0	8682.0	9089.0
32103.0	4686.0	4887.0	5201.0
22005.0	4828.0	4940.0	5440.0
11001.0	3255.0	3320.0	3520.0
27500.0	4980.0	5077.0	5116.0
25805.0	5125.0	5586.0	5898.0
25806.0	5224.0	5724.0	6291.0
25400.0	6847.0	7128.0	7848.0
2800.0	4618.0	4847.0	5266.0
32208.0	7210.0	8407.0	9869.0
7800.0	6537.0	6717.0	6746.0
5400.0	5152.0	5220.0	5129.0
30311.0	4897.0	4905.0	4863.0
29403.0	7080.0	7434.0	7451.0
1400.0	5233.0	5329.0	5307.0
32210.0	12828.0	13866.0	15797.0
29003.0	6022.0	7216.0	7737.0
20402.0	6319.0	6655.0	7364.0
30401.0	9082.0	11977.0	13248.0
4301.0	3307.0	3412.0	3454.0
30308.0	6805.0	6756.0	6862.0
30312.0	5545.0	5854.0	5830.0
21700.0	9174.0	10509.0	15594.0
29305.0	5380.0	6462.0	6569.0
27400.0	6256.0	6382.0	6369.0
32401.0	5706.0	6696.0	8079.0
32207.0	3971.0	4342.0	4420.0
27702.0	5317.0	5397.0	5362.0
51917.0	4454.0	4605.0	4754.0
21600.0	5999.0	6686.0	8304.0
31400.0	6336.0	6753.0	7234.0
70207.0	4951.0	5841.0	6552.0
22500.0	7864.0	8399.0	9250.0
31501.0	3672.0	4503.0	5193.0
31603.0	4908.0	8353.0	15902.0
32702.0	6938.0	7722.0	8566.0
27701.0	5313.0	5418.0	5479.0
31601.0	5094.0	5388.0	5430.0
31204.0	6998.0	7776.0	8047.0
12100.0	2968.0	3011.0	2978.0
26600.0	2607.0	2869.0	2951.0
26001.0	6161.0	6451.0	6946.0
25006.0	5615.0	6471.0	7181.0
31906.0	4322.0	5344.0	5889.0
31800.0	5654.0	6704.0	7135.0
32003.0	5260.0	6393.0	7513.0
32002.0	3410.0	4180.0	4809.0
3300.0	6457.0	6345.0	6595.0
26700.0	6297.0	6401.0	6452.0
11402.0	4056.0	4162.0	4246.0
32324.0	5608.0	5976.0	6347.0
32313.0	4889.0	5358.0	6539.0
32402.0	6627.0	7514.0	8456.0
32315.0	6331.0	6772.0	6509.0
32102.0	5072.0	5859.0	6353.0
32703.0	2180.0	2461.0	2650.0
32602.0	10719.0	10996.0	11795.0
32800.0	3942.0	5272.0	6468.0
4800.0	4760.0	4988.0	4958.0
24300.0	8130.0	8233.0	8319.0
23300.0	6557.0	6630.0	6956.0
23100.0	4130.0	4277.0	4260.0
32213.0	4720.0	4934.0	5108.0
32601.0	3442.0	3493.0	3594.0
8001.0	5931.0	6245.0	7439.0
2900.0	4328.0	4344.0	4327.0
3000.0	5683.0	5688.0	5654.0
32309.0	6340.0	7352.0	8534.0
32320.0	5426.0	6064.0	6336.0
2200.0	6110.0	6134.0	6434.0
32500.0	5791.0	6985.0	8798.0
20200.0	5818.0	5936.0	5922.0
20800.0	5139.0	5357.0	5556.0
51912.0	2626.0	2777.0	2878.0
20300.0	6368.0	7418.0	9892.0
30901.0	3997.0	4139.0	3988.0
11401.0	4150.0	4315.0	4485.0
28402.0	5506.0	5507.0	5478.0
22803.0	6322.0	8827.0	11092.0
4900.0	6321.0	6474.0	6546.0
