faz_id	households_2043
8935	6754
8927	2816
8926	8227
8936	8046
8500	10964
8406	1314
8320	7745
8925	8668
8937	10823
8405	8887
8310	15353
8910	9032
7905	12843
7606	2274
7805	10620
8220	10513
8000	6757
8906	3859
8210	7496
9020	9942
8125	8987
8126	8266
8905	4412
7806	4170
7700	3688
7526	7190
7340	12671
7605	813
7537	13860
8115	17615
7335	18428
8600	8763
7425	12535
7535	15925
7525	8429
7436	2346
9019	9075
7026	4371
7205	6746
7515	2675
7320	15239
7206	8839
7315	8770
7435	3519
7316	8910
7025	10638
7415	6348
7100	11843
7015	8242
9908	1153
6410	26066
6420	21853
5535	16967
5600	7741
5546	8625
4706	5642
6605	6011
6910	2910
6606	3376
9909	3485
9011	6666
5525	7457
5515	12833
6326	12372
9914	8710
5545	6999
6223	14470
5306	12715
6325	17031
9009	2549
9006	6385
6225	13096
9018	10663
5425	22619
5305	14580
5426	9821
6226	14991
6126	6289
6224	12312
6216	7029
6316	15553
6215	13517
5100	3116
6213	10332
9005	3430
6124	14770
6125	5622
6214	238
5415	10186
5205	11850
9916	7132
9913	3641
9915	10788
4606	11510
6115	11924
4820	3830
9017	2231
6123	18307
6114	18281
4607	13331
6505	5495
5020	11663
6113	28113
5010	9201
6020	15830
4900	16559
6010	10375
4400	9563
9900	5248
9904	7017
9902	14738
4810	4860
5720	19291
9901	5547
5826	3481
5825	2041
5925	12200
9015	6679
4506	8414
4605	11385
9002	18177
4226	7997
4505	6262
4225	8081
5716	11729
5916	15702
4300	5894
5815	2362
9004	10123
5715	8163
3330	6886
6506	7603
5915	8470
3905	5033
4130	8802
6930	4597
3825	9471
4120	9779
3816	11156
4210	11764
9016	7130
4005	7378
4230	5043
3815	9022
3705	15457
3900	3681
4110	11441
3416	10801
3413	4704
3706	7642
3600	12581
3415	13391
3320	12041
3505	20138
3414	11197
6900	4697
2940	9827
2216	8826
3046	14042
2225	9582
3426	9348
3427	10117
3045	13041
3310	13003
3030	19751
3130	8375
3010	18929
3020	13393
3425	9320
2100	8569
1606	6110
2215	8214
1720	13123
3120	13397
1900	553
3110	3709
3200	10091
1605	8325
2000	6298
1820	7995
1200	8215
1710	12208
1810	6141
900	5215
806	16264
1506	10277
1410	5648
1505	9756
1330	8989
1000	4112
1320	7401
1420	8122
1130	3187
1116	8502
1310	10838
805	9332
1115	7117
205	5960
136	5238
1120	17277
705	13314
120	5375
325	11054
135	7236
706	6591
206	6159
2910	2068
315	6512
2935	2976
605	11377
606	12930
506	14204
110	2445
505	23441
2936	3326
405	13349
2926	10967
2925	8710
2927	5918
