faz_id	population_2043
8935	16977
8927	7666
8926	21805
8936	21067
8500	26578
8406	3571
8320	20186
8925	22806
8937	29036
8405	25069
8310	37377
8910	23930
7905	34220
7606	6296
7805	29670
8220	21157
8000	16526
8906	10801
8210	14323
9020	24875
8125	22327
8126	18746
8905	12057
7806	11407
7700	8625
7526	17806
7340	34132
7605	2196
7537	30554
8115	37790
7335	44182
8600	23894
7425	36421
7535	34510
7525	20621
7436	6535
9019	23072
7026	11410
7205	16151
7515	6466
7320	39063
7206	19465
7315	22715
7435	9761
7316	24084
7025	22947
7415	17053
7100	28105
7015	19124
9908	3664
6410	57436
6420	49089
5535	40127
5600	18763
5546	21764
4706	14880
6605	16595
6910	7669
6606	8923
9909	8955
9011	15700
5525	17722
5515	31955
6326	25088
9914	22802
5545	19550
6223	29892
5306	28061
6325	36890
9009	6609
9006	17045
6225	25073
9018	25279
5425	50070
5305	32665
5426	25452
6226	33587
6126	14504
6224	26224
6216	16526
6316	29758
6215	27187
5100	8684
6213	19354
9005	9078
6124	27162
6125	10462
6214	391
5415	21826
5205	22652
9916	18077
9913	7955
9915	27061
4606	32226
6115	23691
4820	8731
9017	5669
6123	28167
6114	36294
4607	37516
6505	15439
5020	27859
6113	44145
5010	20851
6020	23881
4900	26218
6010	16312
4400	24036
9900	12125
9904	15720
9902	32801
4810	11287
5720	38421
9901	14148
5826	6680
5825	3715
5925	27123
9015	17237
4506	19804
4605	28586
9002	43843
4226	20844
4505	17600
4225	20849
5716	26634
5916	38410
4300	13584
5815	5358
9004	26711
5715	18223
3330	18625
6506	19845
5915	21598
3905	12474
4130	19097
6930	10710
3825	23617
4120	23122
3816	27224
4210	31554
9016	18885
4005	18523
4230	13982
3815	21347
3705	36840
3900	7821
4110	27327
3416	27714
3413	13076
3706	19408
3600	28764
3415	35143
3320	33724
3505	48087
3414	30771
6900	12119
2940	26011
2216	23706
3046	31404
2225	24005
3426	27585
3427	27646
3045	32504
3310	34857
3030	54888
3130	18375
3010	48689
3020	29394
3425	25020
2100	22714
1606	13751
2215	20296
1720	29423
3120	32989
1900	892
3110	10090
3200	26231
1605	17674
2000	15839
1820	12067
1200	20800
1710	26730
1810	9817
900	12220
806	44399
1506	24786
1410	13062
1505	23278
1330	24450
1000	10477
1320	18092
1420	17332
1130	7232
1116	20336
1310	28176
805	25889
1115	18922
205	13521
136	11699
1120	43332
705	35196
120	13242
325	27351
135	17954
706	17665
206	13756
2910	5418
315	15974
2935	10230
605	30269
606	34668
506	39592
110	5394
505	66194
2936	8950
405	35920
2926	29913
2925	23036
2927	15236
