large_area_id,jobs_2023,jobs_2033,jobs_2043
1.0,16854.0,18847.0,21345.0
2.0,152590.0,169305.0,204088.0
3.0,128495.0,144528.0,177655.0
4.0,20467.0,22755.0,28236.0
5.0,24514.0,25164.0,30256.0
6.0,609693.0,682196.0,756916.0
7.0,415089.0,454019.0,556456.0
8.0,120948.0,130445.0,150698.0
9.0,231223.0,262071.0,304925.0
10.0,53787.0,59078.0,69150.0
11.0,17073.0,19854.0,25360.0
12.0,145761.0,162271.0,193450.0
13.0,66244.0,71089.0,79281.0
14.0,114160.0,129072.0,162242.0
15.0,20925.0,22025.0,24650.0
16.0,18722.0,20080.0,23008.0
17.0,63142.0,67648.0,78320.0
18.0,24560.0,25959.0,29404.0
