faz_id	households_2023	households_2033	households_2043
8935.0	4823.0	5395.0	6754.0
8927.0	2126.0	2360.0	2816.0
8926.0	5568.0	6642.0	8227.0
8936.0	6617.0	7265.0	8046.0
8500.0	7314.0	8039.0	10964.0
8406.0	704.0	929.0	1314.0
8320.0	5165.0	5881.0	7745.0
8925.0	5578.0	6602.0	8668.0
8937.0	5396.0	7371.0	10823.0
8405.0	5847.0	7098.0	8887.0
8310.0	12251.0	12998.0	15353.0
8910.0	6011.0	7220.0	9032.0
7905.0	8829.0	10342.0	12843.0
7606.0	1683.0	2096.0	2274.0
7805.0	7989.0	9334.0	10620.0
8220.0	7870.0	8546.0	10513.0
8000.0	5745.0	6115.0	6757.0
8906.0	3249.0	3534.0	3859.0
8210.0	4892.0	6159.0	7496.0
9020.0	7482.0	8699.0	9942.0
8125.0	7770.0	8133.0	8987.0
8126.0	5863.0	6620.0	8266.0
8905.0	3686.0	3995.0	4412.0
7806.0	2330.0	3199.0	4170.0
7700.0	3609.0	3629.0	3688.0
7526.0	6233.0	6355.0	7190.0
7340.0	9949.0	10827.0	12671.0
7605.0	763.0	779.0	813.0
7537.0	11689.0	12526.0	13860.0
8115.0	13773.0	14824.0	17615.0
7335.0	14473.0	15198.0	18428.0
8600.0	6809.0	7706.0	8763.0
7425.0	10455.0	11349.0	12535.0
7535.0	12722.0	13621.0	15925.0
7525.0	5982.0	6523.0	8429.0
7436.0	2223.0	2296.0	2346.0
9019.0	6584.0	7595.0	9075.0
7026.0	4236.0	4303.0	4371.0
7205.0	5853.0	6105.0	6746.0
7515.0	2110.0	2251.0	2675.0
7320.0	11289.0	11878.0	15239.0
7206.0	7822.0	7986.0	8839.0
7315.0	6732.0	7413.0	8770.0
7435.0	3062.0	3286.0	3519.0
7316.0	8010.0	8480.0	8910.0
7025.0	9904.0	10230.0	10638.0
7415.0	4515.0	5096.0	6348.0
7100.0	9296.0	10579.0	11843.0
7015.0	7611.0	7790.0	8242.0
9908.0	1174.0	1162.0	1153.0
6410.0	17056.0	20140.0	26066.0
6420.0	14913.0	16395.0	21853.0
5535.0	11647.0	12936.0	16967.0
5600.0	6460.0	6844.0	7741.0
5546.0	7117.0	7739.0	8625.0
4706.0	5283.0	5420.0	5642.0
6605.0	4365.0	4991.0	6011.0
6910.0	1860.0	2384.0	2910.0
6606.0	2146.0	2577.0	3376.0
9909.0	2066.0	2538.0	3485.0
9011.0	4599.0	5266.0	6666.0
5525.0	6140.0	6757.0	7457.0
5515.0	11490.0	12142.0	12833.0
6326.0	11946.0	12260.0	12372.0
9914.0	7266.0	8167.0	8710.0
5545.0	5877.0	6483.0	6999.0
6223.0	13335.0	13724.0	14470.0
5306.0	10812.0	11193.0	12715.0
6325.0	16624.0	16834.0	17031.0
9009.0	2083.0	2274.0	2549.0
9006.0	4417.0	5519.0	6385.0
6225.0	10289.0	11164.0	13096.0
9018.0	8177.0	9573.0	10663.0
5425.0	18040.0	19863.0	22619.0
5305.0	12736.0	13135.0	14580.0
5426.0	8398.0	8971.0	9821.0
6226.0	14599.0	14720.0	14991.0
6126.0	6025.0	6065.0	6289.0
6224.0	11263.0	11785.0	12312.0
6216.0	6855.0	6953.0	7029.0
6316.0	14919.0	15095.0	15553.0
6215.0	12644.0	13081.0	13517.0
5100.0	3073.0	3091.0	3116.0
6213.0	10138.0	10266.0	10332.0
9005.0	2355.0	2737.0	3430.0
6124.0	14592.0	14770.0	14770.0
6125.0	5503.0	5593.0	5622.0
6214.0	238.0	238.0	238.0
5415.0	7106.0	8670.0	10186.0
5205.0	5659.0	8041.0	11850.0
9916.0	5292.0	6284.0	7132.0
9913.0	3521.0	3568.0	3641.0
9915.0	8294.0	10017.0	10788.0
4606.0	9195.0	10288.0	11510.0
6115.0	11560.0	11751.0	11924.0
4820.0	3665.0	3763.0	3830.0
9017.0	1457.0	1686.0	2231.0
6123.0	11627.0	12826.0	18307.0
6114.0	17102.0	17777.0	18281.0
4607.0	9534.0	10973.0	13331.0
6505.0	4912.0	5029.0	5495.0
5020.0	10292.0	10643.0	11663.0
6113.0	24950.0	27186.0	28113.0
5010.0	8694.0	8907.0	9201.0
6020.0	11548.0	12942.0	15830.0
4900.0	5665.0	9770.0	16559.0
6010.0	8092.0	9295.0	10375.0
4400.0	9479.0	9623.0	9563.0
9900.0	4210.0	4795.0	5248.0
9904.0	5706.0	6184.0	7017.0
9902.0	13558.0	14202.0	14738.0
4810.0	4639.0	4754.0	4860.0
5720.0	18780.0	19217.0	19291.0
9901.0	3201.0	3828.0	5547.0
