faz_id	population_2023	population_2033	population_2043
8935.0	12466.0	14196.0	16977.0
8927.0	5922.0	6553.0	7666.0
8926.0	14658.0	18033.0	21805.0
8936.0	17543.0	19467.0	21067.0
8500.0	19159.0	21181.0	26578.0
8406.0	1893.0	2581.0	3571.0
8320.0	13959.0	16421.0	20186.0
8925.0	15075.0	18193.0	22806.0
8937.0	14495.0	20551.0	29036.0
8405.0	17473.0	21120.0	25069.0
8310.0	31644.0	33521.0	37377.0
8910.0	16040.0	19734.0	23930.0
7905.0	24899.0	29430.0	34220.0
7606.0	4698.0	5980.0	6296.0
7805.0	22850.0	26882.0	29670.0
8220.0	17284.0	18446.0	21157.0
8000.0	14438.0	15400.0	16526.0
8906.0	9144.0	10091.0	10801.0
8210.0	9632.0	12163.0	14323.0
9020.0	18512.0	22239.0	24875.0
8125.0	19862.0	20807.0	22327.0
8126.0	14152.0	15742.0	18746.0
8905.0	10355.0	11243.0	12057.0
7806.0	6245.0	8997.0	11407.0
7700.0	8514.0	8603.0	8625.0
7526.0	15753.0	16157.0	17806.0
7340.0	28278.0	30661.0	34132.0
7605.0	2077.0	2149.0	2196.0
7537.0	26935.0	28704.0	30554.0
8115.0	31474.0	33601.0	37790.0
7335.0	36266.0	38224.0	44182.0
8600.0	19221.0	21778.0	23894.0
7425.0	31651.0	34153.0	36421.0
7535.0	28995.0	30896.0	34510.0
7525.0	15999.0	17357.0	20621.0
7436.0	6212.0	6521.0	6535.0
9019.0	16999.0	19931.0	23072.0
7026.0	10986.0	11282.0	11410.0
7205.0	14809.0	15261.0	16151.0
7515.0	5442.0	5769.0	6466.0
7320.0	30144.0	32021.0	39063.0
7206.0	18134.0	18265.0	19465.0
7315.0	18331.0	20177.0	22715.0
7435.0	8659.0	9327.0	9761.0
7316.0	21752.0	23299.0	24084.0
7025.0	21683.0	22468.0	22947.0
7415.0	12352.0	14132.0	17053.0
7100.0	22095.0	24163.0	28105.0
7015.0	17973.0	18383.0	19124.0
9908.0	3771.0	3737.0	3664.0
6410.0	40757.0	47200.0	57436.0
6420.0	36358.0	39536.0	49089.0
5535.0	29754.0	33030.0	40127.0
5600.0	16174.0	17231.0	18763.0
5546.0	18510.0	20129.0	21764.0
4706.0	13993.0	14435.0	14880.0
6605.0	12353.0	14281.0	16595.0
6910.0	4757.0	6353.0	7669.0
6606.0	5820.0	7074.0	8923.0
9909.0	5486.0	6893.0	8955.0
9011.0	10255.0	12358.0	15700.0
5525.0	14847.0	16523.0	17722.0
5515.0	28517.0	30487.0	31955.0
6326.0	24798.0	25614.0	25088.0
9914.0	18922.0	21681.0	22802.0
5545.0	16704.0	18510.0	19550.0
6223.0	28595.0	29072.0	29892.0
5306.0	24149.0	25152.0	28061.0
6325.0	36915.0	37222.0	36890.0
9009.0	5354.0	5954.0	6609.0
9006.0	11871.0	15103.0	17045.0
6225.0	20347.0	21848.0	25073.0
9018.0	18921.0	23046.0	25279.0
5425.0	41560.0	45784.0	50070.0
5305.0	28616.0	29888.0	32665.0
5426.0	22339.0	23935.0	25452.0
6226.0	33295.0	33503.0	33587.0
6126.0	14074.0	14113.0	14504.0
6224.0	23368.0	24529.0	26224.0
6216.0	16587.0	16692.0	16526.0
6316.0	28805.0	29365.0	29758.0
6215.0	25592.0	26827.0	27187.0
5100.0	8699.0	8724.0	8684.0
6213.0	19169.0	19433.0	19354.0
9005.0	6221.0	7388.0	9078.0
6124.0	26830.0	27332.0	27162.0
6125.0	10265.0	10500.0	10462.0
6214.0	360.0	373.0	391.0
5415.0	16591.0	19429.0	21826.0
5205.0	12855.0	17278.0	22652.0
9916.0	13569.0	15843.0	18077.0
9913.0	7525.0	7786.0	7955.0
9915.0	20531.0	25540.0	27061.0
4606.0	26376.0	29620.0	32226.0
6115.0	23221.0	23588.0	23691.0
4820.0	8381.0	8611.0	8731.0
9017.0	3619.0	4330.0	5669.0
6123.0	18060.0	20523.0	28167.0
6114.0	34785.0	35903.0	36294.0
4607.0	28086.0	32186.0	37516.0
6505.0	14232.0	14538.0	15439.0
5020.0	25893.0	26553.0	27859.0
6113.0	37865.0	42493.0	44145.0
5010.0	20268.0	20785.0	20851.0
6020.0	16254.0	19365.0	23881.0
4900.0	8909.0	15655.0	26218.0
6010.0	12071.0	14476.0	16312.0
4400.0	23853.0	24273.0	24036.0
9900.0	9691.0	11335.0	12125.0
9904.0	12548.0	14178.0	15720.0
9902.0	30023.0	32088.0	32801.0
4810.0	10838.0	11160.0	11287.0
5720.0	37647.0	38624.0	38421.0
9901.0	8249.0	10102.0	14148.0
5826.0	6038.0	6391.0	6680.0
5825.0	3257.0	3682.0	3715.0
5925.0	26258.0	26574.0	27123.0
9015.0	15077.0	16543.0	17237.0
4506.0	18060.0	18692.0	19804.0
4605.0	24933.0	26722.0	28586.0
9002.0	34250.0	41561.0	43843.0
4226.0	18373.0	20321.0	20844.0
4505.0	17032.0	17336.0	17600.0
4225.0	17471.0	18929.0	20849.0
5716.0	26178.0	26293.0	26634.0
5916.0	37449.0	37669.0	38410.0
4300.0	11533.0	12536.0	13584.0
5815.0	5234.0	5250.0	5358.0
9004.0	18876.0	21869.0	26711.0
5715.0	18102.0	18276.0	18223.0
3330.0	13805.0	16568.0	18625.0
6506.0	15668.0	17693.0	19845.0
5915.0	21308.0	21452.0	21598.0
3905.0	11228.0	11923.0	12474.0
4130.0	17656.0	18496.0	19097.0
6930.0	10507.0	10649.0	10710.0
3825.0	21514.0	22416.0	23617.0
4120.0	21626.0	22312.0	23122.0
3816.0	25095.0	26261.0	27224.0
4210.0	26216.0	29495.0	31554.0
9016.0	13209.0	15887.0	18885.0
4005.0	15715.0	16867.0	18523.0
4230.0	11460.0	13211.0	13982.0
3815.0	20752.0	21228.0	21347.0
3705.0	32991.0	34282.0	36840.0
3900.0	6290.0	7293.0	7821.0
4110.0	20289.0	22281.0	27327.0
3416.0	23928.0	25267.0	27714.0
3413.0	10047.0	12127.0	13076.0
3706.0	18168.0	18998.0	19408.0
3600.0	21319.0	22697.0	28764.0
3415.0	28433.0	32331.0	35143.0
3320.0	29606.0	32198.0	33724.0
3505.0	43582.0	46462.0	48087.0
3414.0	29050.0	30201.0	30771.0
6900.0	8441.0	10329.0	12119.0
2940.0	17229.0	23462.0	26011.0
2216.0	19761.0	22066.0	23706.0
3046.0	24637.0	28433.0	31404.0
2225.0	15494.0	18731.0	24005.0
3426.0	23211.0	26202.0	27585.0
3427.0	24278.0	26275.0	27646.0
3045.0	28892.0	30780.0	32504.0
3310.0	20710.0	25342.0	34857.0
3030.0	42307.0	51374.0	54888.0
3130.0	16390.0	17282.0	18375.0
3010.0	43757.0	46396.0	48689.0
3020.0	24173.0	25134.0	29394.0
3425.0	20636.0	23794.0	25020.0
2100.0	20722.0	21638.0	22714.0
1606.0	12887.0	13321.0	13751.0
2215.0	18138.0	19504.0	20296.0
1720.0	26421.0	27645.0	29423.0
3120.0	24724.0	26609.0	32989.0
1900.0	882.0	897.0	892.0
3110.0	9694.0	10218.0	10090.0
3200.0	21012.0	23653.0	26231.0
1605.0	17167.0	17562.0	17674.0
2000.0	12393.0	14348.0	15839.0
1820.0	7101.0	9258.0	12067.0
1200.0	18012.0	20019.0	20800.0
1710.0	21559.0	22999.0	26730.0
1810.0	3706.0	6028.0	9817.0
900.0	10831.0	11678.0	12220.0
806.0	31979.0	38964.0	44399.0
1506.0	22720.0	23848.0	24786.0
1410.0	11897.0	12143.0	13062.0
1505.0	21629.0	22591.0	23278.0
1330.0	23082.0	24456.0	24450.0
1000.0	9851.0	10395.0	10477.0
1320.0	18408.0	18438.0	18092.0
1420.0	12646.0	13832.0	17332.0
1130.0	5600.0	6707.0	7232.0
1116.0	18222.0	19588.0	20336.0
1310.0	28079.0	28603.0	28176.0
805.0	22472.0	25692.0	25889.0
1115.0	14271.0	18057.0	18922.0
205.0	13316.0	13466.0	13521.0
136.0	11347.0	11618.0	11699.0
1120.0	34634.0	39262.0	43332.0
705.0	19679.0	23595.0	35196.0
120.0	11795.0	12787.0	13242.0
325.0	24746.0	26859.0	27351.0
135.0	17081.0	17923.0	17954.0
706.0	13219.0	15503.0	17665.0
206.0	13718.0	13933.0	13756.0
2910.0	3627.0	4201.0	5418.0
315.0	15035.0	15624.0	15974.0
2935.0	10762.0	10520.0	10230.0
605.0	23661.0	27814.0	30269.0
606.0	23512.0	30073.0	34668.0
506.0	26998.0	31730.0	39592.0
110.0	5011.0	5125.0	5394.0
505.0	48713.0	59828.0	66194.0
2936.0	7992.0	8431.0	8950.0
405.0	26513.0	32216.0	35920.0
2926.0	25871.0	27587.0	29913.0
2925.0	16154.0	18537.0	23036.0
2927.0	7132.0	10270.0	15236.0
