district_id,at_home_workers_2000,at_home_workers_2010,at_home_workers_2020,at_home_workers_2025,at_home_workers_2030,at_home_workers_2035,at_home_workers_2040
1.0,4831.0,4034.0,5266.0,5576.0,5943.0,6463.0,7114.0
2.0,7589.0,7287.0,11233.0,12497.0,13788.0,15623.0,18183.0
3.0,5958.0,4639.0,5490.0,5652.0,5894.0,6365.0,6946.0
4.0,4557.0,3898.0,5165.0,5491.0,5862.0,6369.0,7213.0
5.0,6086.0,5604.0,7879.0,8407.0,9059.0,10040.0,11181.0
6.0,5346.0,4450.0,5732.0,5991.0,6375.0,6792.0,7557.0
7.0,5447.0,5022.0,6498.0,6889.0,7444.0,8112.0,8942.0
8.0,7143.0,5223.0,5811.0,5992.0,6110.0,6485.0,6965.0
9.0,10957.0,8512.0,10500.0,10895.0,11455.0,12214.0,13299.0
10.0,6555.0,5196.0,6015.0,6190.0,6383.0,6671.0,7021.0
11.0,3076.0,2079.0,2144.0,2179.0,2189.0,2246.0,2288.0
12.0,8131.0,5973.0,6684.0,6855.0,6994.0,7109.0,7350.0
13.0,9669.0,7520.0,8694.0,8913.0,9192.0,9517.0,9918.0
14.0,2152.0,1880.0,2444.0,2626.0,2912.0,3372.0,3758.0
15.0,5693.0,4557.0,6594.0,6912.0,7259.0,7703.0,8534.0
16.0,4328.0,3991.0,5519.0,5907.0,6400.0,7044.0,7910.0
17.0,3669.0,2559.0,3080.0,3143.0,3255.0,3521.0,3793.0
18.0,4937.0,4633.0,6847.0,7553.0,8394.0,9635.0,11468.0
19.0,6648.0,5622.0,8571.0,9302.0,10147.0,11277.0,12604.0
