faz_id	multifamily_households_2000	multifamily_households_2010	multifamily_households_2020	multifamily_households_2025	multifamily_households_2030	multifamily_households_2035	multifamily_households_2040
8935.0	77.0	149.0	373.0	385.0	420.0	501.0	908.0
8927.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
8926.0	12.0	16.0	19.0	19.0	19.0	18.0	19.0
8936.0	106.0	231.0	320.0	346.0	376.0	418.0	505.0
8500.0	372.0	562.0	1204.0	1319.0	1485.0	2214.0	4270.0
8406.0	2.0	19.0	27.0	30.0	36.0	47.0	52.0
8320.0	538.0	611.0	644.0	643.0	695.0	768.0	1033.0
8925.0	32.0	80.0	225.0	245.0	272.0	352.0	737.0
8937.0	9.0	13.0	13.0	13.0	13.0	13.0	13.0
8405.0	49.0	87.0	94.0	93.0	94.0	108.0	272.0
8310.0	2383.0	2527.0	2579.0	2660.0	2771.0	3318.0	4830.0
8910.0	63.0	89.0	97.0	107.0	124.0	190.0	329.0
7905.0	674.0	739.0	743.0	749.0	827.0	945.0	2189.0
7606.0	16.0	43.0	61.0	63.0	64.0	65.0	65.0
7805.0	319.0	368.0	366.0	373.0	390.0	414.0	475.0
8220.0	3005.0	3486.0	3877.0	4197.0	4894.0	6131.0	6873.0
8000.0	593.0	1117.0	1320.0	1396.0	1527.0	1501.0	1963.0
8906.0	22.0	29.0	29.0	29.0	29.0	29.0	29.0
8210.0	1997.0	2711.0	3243.0	4067.0	5128.0	6064.0	6081.0
9020.0	32.0	31.0	460.0	537.0	591.0	677.0	892.0
8125.0	1798.0	2025.0	2082.0	2189.0	2333.0	2606.0	2847.0
8126.0	1167.0	1491.0	1700.0	1953.0	2511.0	3220.0	3849.0
8905.0	53.0	68.0	64.0	67.0	67.0	64.0	66.0
7806.0	31.0	89.0	94.0	84.0	86.0	92.0	105.0
7700.0	757.0	928.0	921.0	927.0	930.0	955.0	972.0
7526.0	1100.0	1300.0	1403.0	1450.0	1492.0	1595.0	1849.0
7340.0	453.0	738.0	807.0	856.0	963.0	1138.0	1746.0
7605.0	10.0	14.0	15.0	15.0	14.0	14.0	14.0
7537.0	4445.0	4829.0	8365.0	8579.0	8789.0	8978.0	9601.0
8115.0	4911.0	5157.0	8681.0	9237.0	9748.0	10712.0	12398.0
7335.0	1960.0	2350.0	3272.0	3491.0	3817.0	4446.0	5734.0
8600.0	970.0	1031.0	1126.0	1136.0	1157.0	1198.0	1265.0
7425.0	105.0	216.0	281.0	311.0	341.0	440.0	686.0
7535.0	1618.0	2254.0	7502.0	7931.0	8347.0	8962.0	10880.0
7525.0	803.0	916.0	985.0	1125.0	1421.0	2251.0	3643.0
7436.0	37.0	46.0	46.0	46.0	46.0	46.0	46.0
9019.0	22.0	38.0	23.0	62.0	114.0	190.0	356.0
7026.0	109.0	185.0	182.0	181.0	181.0	183.0	183.0
7205.0	1410.0	1563.0	1698.0	1771.0	1875.0	2156.0	2606.0
7515.0	334.0	489.0	675.0	771.0	867.0	1001.0	1275.0
7320.0	847.0	1346.0	1597.0	1628.0	1728.0	2073.0	3078.0
7206.0	3347.0	3882.0	3993.0	4009.0	4161.0	4467.0	4917.0
7315.0	341.0	438.0	565.0	670.0	887.0	1479.0	2456.0
7435.0	32.0	38.0	38.0	37.0	38.0	38.0	38.0
7316.0	399.0	562.0	562.0	582.0	612.0	666.0	826.0
7025.0	3143.0	3941.0	4152.0	4284.0	4392.0	4595.0	4795.0
7415.0	64.0	74.0	76.0	71.0	81.0	114.0	376.0
7100.0	1485.0	1767.0	5854.0	6733.0	7429.0	7741.0	9196.0
7015.0	1682.0	2114.0	2252.0	2331.0	2481.0	2679.0	2864.0
9908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6410.0	2933.0	3868.0	5185.0	6477.0	8737.0	12099.0	14685.0
6420.0	2675.0	3638.0	4308.0	5192.0	6736.0	9844.0	12290.0
5535.0	2199.0	2824.0	3127.0	3476.0	4071.0	5303.0	7935.0
5600.0	2034.0	2226.0	2435.0	2517.0	2672.0	3045.0	3721.0
5546.0	1036.0	1353.0	1588.0	1757.0	1996.0	2364.0	2677.0
4706.0	17.0	106.0	169.0	179.0	206.0	212.0	213.0
6605.0	84.0	161.0	158.0	159.0	178.0	228.0	296.0
6910.0	70.0	92.0	92.0	91.0	92.0	92.0	91.0
6606.0	66.0	97.0	97.0	94.0	99.0	105.0	112.0
9909.0	14.0	22.0	21.0	22.0	21.0	63.0	746.0
9011.0	199.0	294.0	907.0	954.0	990.0	1044.0	1296.0
5525.0	1756.0	2086.0	2286.0	2398.0	2537.0	2813.0	3301.0
5515.0	2055.0	2852.0	3119.0	3140.0	3206.0	3310.0	3476.0
6326.0	4408.0	5333.0	5320.0	5484.0	5596.0	5873.0	5982.0
9914.0	13.0	85.0	87.0	94.0	95.0	109.0	114.0
5545.0	432.0	673.0	700.0	713.0	725.0	744.0	952.0
6223.0	4558.0	5816.0	6060.0	6179.0	6490.0	6909.0	7048.0
5306.0	4485.0	5212.0	5546.0	5610.0	5649.0	5596.0	5962.0
6325.0	3209.0	4162.0	4285.0	4447.0	4582.0	4680.0	4688.0
9009.0	24.0	23.0	24.0	24.0	24.0	24.0	24.0
9006.0	10.0	11.0	11.0	11.0	11.0	10.0	11.0
6225.0	5212.0	6452.0	7050.0	7499.0	7963.0	8255.0	8569.0
9018.0	384.0	465.0	1917.0	2066.0	2190.0	2378.0	2526.0
5425.0	7154.0	8143.0	8591.0	8738.0	8823.0	8900.0	9745.0
5305.0	4474.0	5209.0	5486.0	5574.0	5697.0	5788.0	5921.0
5426.0	1071.0	2020.0	2609.0	2712.0	2816.0	2953.0	3069.0
6226.0	2597.0	3705.0	3940.0	4003.0	4047.0	4116.0	4108.0
6126.0	766.0	1100.0	1130.0	1134.0	1136.0	1139.0	1141.0
6224.0	3572.0	4489.0	4603.0	4701.0	4783.0	4821.0	4816.0
6216.0	1169.0	1659.0	1618.0	1666.0	1681.0	1702.0	1702.0
6316.0	7069.0	8831.0	9300.0	9539.0	9671.0	9743.0	9717.0
6215.0	7261.0	7540.0	7909.0	8101.0	8140.0	8159.0	8285.0
5100.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0
6213.0	5757.0	6717.0	6889.0	7121.0	7291.0	7364.0	7356.0
9005.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6124.0	8604.0	9760.0	10196.0	10306.0	10429.0	10476.0	10463.0
6125.0	3341.0	3894.0	3992.0	4075.0	4141.0	4155.0	4156.0
6214.0	89.0	89.0	89.0	88.0	89.0	89.0	89.0
5415.0	1803.0	2311.0	2509.0	2575.0	2679.0	3037.0	3530.0
5205.0	3629.0	3746.0	3942.0	4117.0	4314.0	4550.0	5071.0
9916.0	132.0	137.0	980.0	1099.0	1200.0	1348.0	1771.0
9913.0	90.0	224.0	476.0	495.0	510.0	529.0	535.0
9915.0	248.0	322.0	1804.0	1950.0	2101.0	2296.0	3134.0
4606.0	313.0	433.0	485.0	492.0	508.0	557.0	744.0
6115.0	4779.0	5824.0	5989.0	6128.0	6187.0	6205.0	6196.0
4820.0	1499.0	1672.0	1736.0	1765.0	1783.0	1805.0	1826.0
9017.0	45.0	47.0	47.0	46.0	46.0	47.0	47.0
6123.0	5795.0	8724.0	10239.0	11144.0	11523.0	11618.0	11601.0
6114.0	7358.0	9584.0	10297.0	10741.0	11116.0	11471.0	11549.0
4607.0	122.0	1056.0	1503.0	1582.0	1672.0	1771.0	1937.0
6505.0	210.0	462.0	516.0	518.0	518.0	519.0	521.0
5020.0	3427.0	3665.0	3850.0	3910.0	3850.0	4479.0	5216.0
6113.0	18183.0	21943.0	25154.0	26668.0	26987.0	27402.0	27833.0
5010.0	4775.0	5138.0	5318.0	5342.0	5443.0	5624.0	6010.0
6020.0	6363.0	9933.0	11649.0	13115.0	14128.0	14864.0	15186.0
4900.0	1479.0	3363.0	5952.0	7947.0	9518.0	12318.0	14973.0
6010.0	4174.0	6446.0	8143.0	8934.0	9363.0	9656.0	10175.0
4400.0	1597.0	1695.0	1825.0	1856.0	1861.0	1876.0	1819.0
9900.0	470.0	458.0	1235.0	1324.0	1417.0	1503.0	1615.0
9904.0	897.0	1039.0	1094.0	1114.0	1145.0	1290.0	1668.0
9902.0	1407.0	1656.0	4445.0	4457.0	4480.0	4570.0	4969.0
4810.0	1517.0	1859.0	1993.0	2054.0	2094.0	2150.0	2209.0
5720.0	5868.0	7553.0	7938.0	8252.0	8489.0	8608.0	8506.0
9901.0	75.0	116.0	122.0	120.0	133.0	166.0	454.0
5826.0	949.0	1726.0	1815.0	1886.0	1962.0	2165.0	2240.0
5825.0	627.0	982.0	1388.0	1518.0	1558.0	1560.0	1560.0
5925.0	2872.0	4040.0	4230.0	4452.0	4807.0	5470.0	5664.0
9015.0	53.0	53.0	53.0	54.0	54.0	54.0	53.0
4506.0	2055.0	2457.0	2689.0	2914.0	3243.0	3530.0	3801.0
4605.0	2571.0	3115.0	3414.0	3459.0	3536.0	3719.0	4063.0
9002.0	667.0	786.0	4049.0	4158.0	4237.0	4396.0	5626.0
4226.0	834.0	1096.0	1191.0	1198.0	1223.0	1233.0	1390.0
4505.0	74.0	213.0	242.0	246.0	254.0	264.0	329.0
4225.0	1422.0	1953.0	2179.0	2219.0	2314.0	2376.0	2764.0
5716.0	3239.0	4154.0	4345.0	4409.0	4683.0	5103.0	5494.0
5916.0	2378.0	3574.0	3886.0	4138.0	4505.0	5203.0	5673.0
4300.0	2225.0	2436.0	2512.0	2572.0	2636.0	2791.0	2943.0
5815.0	628.0	821.0	834.0	871.0	962.0	1127.0	1189.0
9004.0	42.0	45.0	44.0	48.0	59.0	76.0	227.0
5715.0	751.0	1099.0	1102.0	1107.0	1136.0	1159.0	1162.0
3330.0	43.0	67.0	71.0	71.0	71.0	71.0	70.0
6506.0	565.0	708.0	736.0	737.0	737.0	758.0	878.0
5915.0	1300.0	1561.0	1715.0	1758.0	1863.0	1990.0	2210.0
