large_area_id,singlefamily_households_2000,singlefamily_households_2010,singlefamily_households_2020,singlefamily_households_2025,singlefamily_households_2030,singlefamily_households_2035,singlefamily_households_2040
1.0,13418.0,15090.0,18177.0,19595.0,21435.0,24137.0,27231.0
2.0,58702.0,65183.0,76140.0,80047.0,84205.0,89475.0,96510.0
3.0,87096.0,97896.0,107101.0,110009.0,112817.0,115448.0,118188.0
4.0,21982.0,24466.0,29044.0,31251.0,33831.0,37222.0,41018.0
5.0,20438.0,21984.0,23071.0,23039.0,22984.0,22725.0,22773.0
6.0,134941.0,140313.0,142012.0,141628.0,141578.0,141524.0,141872.0
7.0,113548.0,130876.0,146083.0,150680.0,155011.0,159009.0,163637.0
8.0,62765.0,65601.0,73580.0,76284.0,78517.0,80214.0,81624.0
9.0,32350.0,36225.0,43361.0,45176.0,46761.0,48735.0,51463.0
10.0,62633.0,71905.0,86587.0,91660.0,96988.0,102797.0,108372.0
11.0,14786.0,17289.0,19984.0,21359.0,23170.0,25572.0,28152.0
12.0,53510.0,55587.0,59421.0,60469.0,61293.0,61913.0,62943.0
13.0,30525.0,30466.0,33311.0,34100.0,34767.0,35266.0,35694.0
14.0,94407.0,106132.0,134079.0,147034.0,160600.0,175682.0,194315.0
15.0,18429.0,20381.0,24601.0,26675.0,28980.0,31544.0,34834.0
16.0,21189.0,23599.0,27618.0,30045.0,32620.0,35604.0,38230.0
17.0,39610.0,42934.0,51345.0,55321.0,58805.0,62400.0,66024.0
18.0,20592.0,22743.0,26633.0,28540.0,30564.0,32778.0,35124.0
