commute_id	origin_district_id	destination_district_id	commute_trips
1001	1	1	39806
1002	1	2	9387
1003	1	3	20589
1004	1	4	4940
1005	1	5	2936
1006	1	6	4537
1007	1	7	456
1008	1	8	1053
1009	1	9	700
1010	1	10	2101
1011	1	11	1448
1012	1	12	1097
1013	1	13	793
1014	1	14	79
1015	1	15	213
1016	1	16	97
1017	1	17	156
1018	1	18	98
1019	1	19	6246
2001	2	1	20327
2002	2	2	83494
2003	2	3	35042
2004	2	4	20407
2005	2	5	15747
2006	2	6	16426
2007	2	7	2654
2008	2	8	4517
2009	2	9	3310
2010	2	10	6543
2011	2	11	4737
2012	2	12	3571
2013	2	13	2723
2014	2	14	275
2015	2	15	790
2016	2	16	475
2017	2	17	690
2018	2	18	487
2019	2	19	1878
3001	3	1	11541
3002	3	2	11590
3003	3	3	43008
3004	3	4	7980
3005	3	5	4452
3006	3	6	7069
3007	3	7	725
3008	3	8	1335
3009	3	9	826
3010	3	10	3023
3011	3	11	2275
3012	3	12	1506
3013	3	13	1052
3014	3	14	99
3015	3	15	154
3016	3	16	83
3017	3	17	97
3018	3	18	62
3019	3	19	1537
4001	4	1	2727
4002	4	2	7635
4003	4	3	8663
4004	4	4	30226
4005	4	5	11543
4006	4	6	16402
4007	4	7	1733
4008	4	8	3463
4009	4	9	2156
4010	4	10	5881
4011	4	11	4529
4012	4	12	3282
4013	4	13	2096
4014	4	14	195
4015	4	15	386
4016	4	16	193
4017	4	17	242
4018	4	18	109
4019	4	19	417
5001	5	1	1962
5002	5	2	6916
5003	5	3	5891
5004	5	4	13714
5005	5	5	49146
5006	5	6	27114
5007	5	7	7018
5008	5	8	9136
5009	5	9	5882
5010	5	10	9160
5011	5	11	6617
5012	5	12	4987
5013	5	13	3190
5014	5	14	319
5015	5	15	785
5016	5	16	483
5017	5	17	633
5018	5	18	342
5019	5	19	563
6001	6	1	616
6002	6	2	1666
6003	6	3	2032
6004	6	4	4694
6005	6	5	8665
6006	6	6	37616
6007	6	7	3260
6008	6	8	8013
6009	6	9	4887
6010	6	10	14437
6011	6	11	10391
6012	6	12	7730
6013	6	13	4853
6014	6	14	389
6015	6	15	814
6016	6	16	425
6017	6	17	415
6018	6	18	162
6019	6	19	275
7001	7	1	511
7002	7	2	1011
7003	7	3	1095
7004	7	4	2143
7005	7	5	4921
7006	7	6	10529
7007	7	7	28439
7008	7	8	17794
7009	7	9	15611
7010	7	10	6439
7011	7	11	6542
7012	7	12	5354
7013	7	13	3661
7014	7	14	375
7015	7	15	1167
7016	7	16	982
7017	7	17	903
7018	7	18	701
7019	7	19	402
8001	8	1	146
8002	8	2	313
8003	8	3	325
8004	8	4	670
8005	8	5	1379
8006	8	6	4277
8007	8	7	3635
8008	8	8	32221
8009	8	9	11604
8010	8	10	4450
8011	8	11	7181
8012	8	12	4982
8013	8	13	3561
8014	8	14	320
8015	8	15	780
8016	8	16	725
8017	8	17	581
8018	8	18	316
8019	8	19	171
9001	9	1	315
9002	9	2	468
9003	9	3	572
9004	9	4	878
9005	9	5	1721
9006	9	6	5052
9007	9	7	5769
9008	9	8	23212
9009	9	9	78884
9010	9	10	4865
9011	9	11	7994
9012	9	12	6962
9013	9	13	8091
9014	9	14	1666
9015	9	15	5922
9016	9	16	5510
9017	9	17	4069
9018	9	18	2598
9019	9	19	390
10001	10	1	396
10002	10	2	670
