faz_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
8935.0	3283.0	4329.0	4748.0	4933.0	5169.0	5703.0	6866.0
8927.0	1666.0	1917.0	2031.0	2089.0	2206.0	2446.0	2829.0
8926.0	4308.0	4998.0	5461.0	5753.0	6187.0	6936.0	8094.0
8936.0	5348.0	6049.0	6737.0	6994.0	7327.0	7718.0	8225.0
8500.0	4570.0	6628.0	7378.0	7695.0	8131.0	9073.0	11144.0
8406.0	502.0	581.0	622.0	683.0	829.0	1051.0	1299.0
8320.0	3761.0	4092.0	4501.0	4699.0	4937.0	5332.0	6938.0
8925.0	3888.0	4907.0	5528.0	5825.0	6343.0	7079.0	8764.0
8937.0	3315.0	3833.0	4985.0	5672.0	6538.0	7882.0	9943.0
8405.0	3383.0	5010.0	5507.0	5883.0	6503.0	7551.0	8813.0
8310.0	10159.0	11141.0	12511.0	13010.0	13424.0	14195.0	15710.0
8910.0	4679.0	5216.0	5842.0	6288.0	6872.0	7700.0	8972.0
7905.0	5382.0	7262.0	8555.0	9373.0	10075.0	10841.0	13034.0
7606.0	531.0	1172.0	1518.0	1675.0	1847.0	2000.0	2190.0
7805.0	5189.0	6700.0	7549.0	8160.0	8862.0	9683.0	10563.0
8220.0	7009.0	7429.0	8236.0	8611.0	9190.0	10301.0	10960.0
8000.0	4097.0	4899.0	5796.0	5984.0	6165.0	6434.0	6758.0
8906.0	2622.0	2949.0	3142.0	3279.0	3416.0	3637.0	3863.0
8210.0	3743.0	4159.0	5069.0	5683.0	6559.0	7929.0	7885.0
9020.0	4910.0	5906.0	7239.0	7782.0	8375.0	9062.0	9996.0
8125.0	6191.0	6628.0	7766.0	8015.0	8269.0	8653.0	9052.0
8126.0	4755.0	5034.0	5889.0	6308.0	6881.0	7862.0	8464.0
8905.0	2718.0	3341.0	3569.0	3660.0	3836.0	4084.0	4412.0
7806.0	1406.0	1627.0	2124.0	2472.0	2823.0	3346.0	4086.0
7700.0	3199.0	3279.0	3612.0	3628.0	3642.0	3660.0	3675.0
7526.0	5074.0	6049.0	6235.0	6312.0	6409.0	6560.0	6713.0
7340.0	7173.0	8974.0	10188.0	10500.0	10825.0	11346.0	12286.0
7605.0	634.0	718.0	748.0	749.0	775.0	783.0	808.0
7537.0	7062.0	8256.0	11811.0	12339.0	12675.0	13042.0	14149.0
8115.0	10196.0	11000.0	13828.0	14465.0	15076.0	16121.0	17966.0
7335.0	10953.0	13497.0	14704.0	15256.0	15835.0	16620.0	17890.0
8600.0	4919.0	5655.0	6610.0	7076.0	7516.0	7993.0	8648.0
7425.0	5817.0	9431.0	10069.0	10485.0	11026.0	11643.0	12490.0
7535.0	5540.0	8358.0	12721.0	13446.0	13972.0	14616.0	16376.0
7525.0	5107.0	5660.0	6112.0	6366.0	6768.0	7689.0	8778.0
7436.0	1915.0	2039.0	2167.0	2204.0	2259.0	2319.0	2339.0
9019.0	5069.0	6005.0	6494.0	6850.0	7399.0	8126.0	9032.0
7026.0	3661.0	3816.0	4200.0	4255.0	4301.0	4334.0	4377.0
7205.0	5304.0	5240.0	5802.0	5991.0	6210.0	6619.0	7133.0
