faz_id	singlefamily_households_2000	singlefamily_households_2010	singlefamily_households_2020	singlefamily_households_2025	singlefamily_households_2030	singlefamily_households_2035	singlefamily_households_2040
8935.0	3206.0	4132.0	4358.0	4513.0	4716.0	5215.0	5924.0
8927.0	1664.0	1915.0	2029.0	2087.0	2204.0	2444.0	2827.0
8926.0	4296.0	4981.0	5442.0	5736.0	6170.0	6917.0	8075.0
8936.0	5242.0	5630.0	6237.0	6461.0	6747.0	7077.0	7510.0
8500.0	4198.0	5341.0	5591.0	5814.0	6038.0	6250.0	6787.0
8406.0	500.0	547.0	579.0	635.0	779.0	999.0	1249.0
8320.0	3223.0	3358.0	3741.0	3920.0	4133.0	4454.0	5790.0
8925.0	3856.0	4758.0	5250.0	5537.0	6032.0	6660.0	7920.0
8937.0	3306.0	3821.0	4973.0	5659.0	6526.0	7869.0	9930.0
8405.0	3334.0	4916.0	5408.0	5784.0	6397.0	7410.0	8477.0
8310.0	7776.0	8233.0	9389.0	9784.0	10071.0	10385.0	10693.0
8910.0	4616.0	5121.0	5746.0	6188.0	6758.0	7507.0	8633.0
7905.0	4708.0	6523.0	7816.0	8608.0	9294.0	9847.0	10687.0
7606.0	515.0	1127.0	1460.0	1621.0	1791.0	1940.0	2126.0
7805.0	4870.0	6300.0	7161.0	7773.0	8462.0	9238.0	10092.0
8220.0	4004.0	3723.0	4028.0	3995.0	3991.0	3947.0	3963.0
8000.0	3504.0	3805.0	4485.0	4599.0	4666.0	4715.0	4902.0
8906.0	2600.0	2920.0	3113.0	3250.0	3387.0	3608.0	3834.0
8210.0	1746.0	1656.0	1803.0	1763.0	1718.0	1656.0	1658.0
9020.0	4878.0	5871.0	6764.0	7234.0	7760.0	8373.0	9014.0
8125.0	4393.0	4679.0	5675.0	5887.0	6009.0	6154.0	6428.0
8126.0	3588.0	3614.0	4138.0	4264.0	4301.0	4341.0	4528.0
8905.0	2665.0	3271.0	3501.0	3592.0	3770.0	4018.0	4346.0
7806.0	1375.0	1552.0	2027.0	2373.0	2720.0	3241.0	3981.0
7700.0	2442.0	2395.0	2653.0	2671.0	2675.0	2688.0	2701.0
7526.0	3974.0	4447.0	4575.0	4635.0	4706.0	4733.0	4818.0
7340.0	6720.0	7849.0	8918.0	9215.0	9509.0	9902.0	10385.0
7605.0	624.0	703.0	733.0	734.0	760.0	768.0	793.0
7537.0	2617.0	3141.0	3328.0	3466.0	3618.0	3875.0	4246.0
8115.0	5285.0	5425.0	5063.0	5131.0	5167.0	5201.0	5266.0
7335.0	8993.0	9953.0	10588.0	10893.0	11152.0	11306.0	11449.0
8600.0	3949.0	4592.0	5443.0	5898.0	6325.0	6770.0	7355.0
7425.0	5712.0	9139.0	9741.0	10151.0	10641.0	11170.0	11786.0
7535.0	3922.0	4968.0	5032.0	5180.0	5272.0	5336.0	5384.0
7525.0	4304.0	4591.0	4920.0	5032.0	5121.0	5109.0	5141.0
7436.0	1878.0	1995.0	2123.0	2160.0	2216.0	2275.0	2295.0
9019.0	5047.0	5941.0	6471.0	6793.0	7284.0	7914.0	8681.0
7026.0	3552.0	3637.0	4018.0	4073.0	4118.0	4152.0	4194.0
7205.0	3894.0	3780.0	4185.0	4247.0	4243.0	4268.0	4319.0
7515.0	989.0	1246.0	1399.0	1425.0	1442.0	1449.0	1449.0
7320.0	7064.0	8706.0	9457.0	9764.0	10033.0	10300.0	10809.0
7206.0	3625.0	3581.0	3876.0	3905.0	3933.0	3974.0	4014.0
7315.0	5018.0	5283.0	6059.0	6348.0	6608.0	6878.0	7033.0
7435.0	2497.0	2711.0	2967.0	3107.0	3242.0	3382.0	3507.0
7316.0	5889.0	6711.0	7360.0	7591.0	7846.0	7981.0	8183.0
7025.0	5332.0	4569.0	5854.0	5882.0	5916.0	5898.0	5911.0
7415.0	2439.0	3712.0	4326.0	4607.0	4887.0	5134.0	5264.0
7100.0	6365.0	6181.0	6356.0	6410.0	6448.0	6520.0	6598.0
7015.0	4929.0	4901.0	5459.0	5526.0	5562.0	5545.0	5592.0
9908.0	1183.0	1184.0	1184.0	1185.0	1185.0	1185.0	1185.0
6410.0	10794.0	10786.0	12058.0	12139.0	12093.0	12042.0	12102.0
6420.0	9644.0	9525.0	10751.0	10787.0	10756.0	10602.0	10604.0
5535.0	5635.0	6382.0	8321.0	8892.0	9210.0	9362.0	9538.0
5600.0	2970.0	3354.0	4035.0	4200.0	4285.0	4322.0	4381.0
5546.0	4357.0	4594.0	5418.0	5669.0	5841.0	5935.0	6036.0
4706.0	3523.0	4754.0	4967.0	5049.0	5168.0	5315.0	5459.0
6605.0	3205.0	3875.0	4198.0	4368.0	4656.0	5075.0	5669.0
6910.0	1164.0	1400.0	1686.0	1858.0	2065.0	2384.0	2815.0
6606.0	1671.0	1803.0	2000.0	2144.0	2344.0	2639.0	3260.0
9909.0	1478.0	1678.0	2008.0	2198.0	2441.0	2742.0	2999.0
