large_area_id,multifamily_households_2000,multifamily_households_2010,multifamily_households_2020,multifamily_households_2025,multifamily_households_2030,multifamily_households_2035,multifamily_households_2040
1.0,194.0,630.0,904.0,968.0,1047.0,1144.0,1672.0
2.0,23067.0,28577.0,37942.0,40610.0,44073.0,50748.0,59127.0
3.0,19269.0,26917.0,38457.0,41234.0,44352.0,49772.0,59629.0
4.0,1152.0,1423.0,1657.0,1680.0,1728.0,1949.0,2590.0
5.0,5608.0,7430.0,9742.0,11947.0,16020.0,22408.0,27147.0
6.0,122876.0,152267.0,176561.0,185134.0,191792.0,197232.0,199096.0
7.0,56066.0,70881.0,78672.0,82592.0,87725.0,96913.0,109985.0
8.0,34240.0,37835.0,42833.0,44070.0,45446.0,47751.0,53909.0
9.0,36418.0,40148.0,43536.0,44171.0,45765.0,48377.0,54808.0
10.0,11690.0,14553.0,15668.0,15850.0,16493.0,17558.0,21042.0
11.0,1176.0,1851.0,1923.0,1941.0,1989.0,2033.0,2379.0
12.0,23734.0,28406.0,31093.0,32161.0,34315.0,40146.0,45694.0
13.0,18250.0,19555.0,21216.0,21426.0,21695.0,22094.0,22910.0
14.0,19211.0,26377.0,27601.0,27695.0,27756.0,29239.0,32345.0
15.0,2099.0,2796.0,2857.0,2860.0,2875.0,2902.0,2937.0
16.0,771.0,984.0,4206.0,4323.0,4477.0,4740.0,6168.0
17.0,3707.0,4196.0,11636.0,12269.0,12853.0,13851.0,17554.0
18.0,356.0,955.0,2073.0,2258.0,2452.0,2705.0,3362.0
