tract10_id	households_2020	households_2030	households_2040
32307.0	2293.0	2341.0	2405.0
28802.0	2672.0	2812.0	4011.0
20100.0	1379.0	1421.0	1580.0
25101.0	2530.0	2892.0	3134.0
29601.0	2609.0	2935.0	3245.0
26200.0	2906.0	3352.0	3989.0
8600.0	2064.0	2124.0	2170.0
8100.0	3698.0	4490.0	4521.0
30503.0	2052.0	2241.0	2769.0
30501.0	956.0	999.0	1046.0
29101.0	1146.0	1196.0	1350.0
29102.0	1567.0	1697.0	1902.0
10900.0	652.0	677.0	790.0
10402.0	1755.0	1778.0	1789.0
9300.0	1762.0	1964.0	1950.0
10001.0	1477.0	1596.0	1693.0
11002.0	1351.0	1390.0	1449.0
26400.0	2676.0	2913.0	3278.0
26300.0	851.0	951.0	995.0
26100.0	3621.0	4026.0	4822.0
26002.0	3150.0	3335.0	3544.0
28600.0	2823.0	2910.0	2957.0
30504.0	2108.0	2146.0	2195.0
29700.0	3512.0	3810.0	3774.0
28300.0	2019.0	2266.0	3814.0
29206.0	1959.0	2007.0	2586.0
27200.0	1188.0	1296.0	1326.0
11700.0	2133.0	2262.0	2316.0
9500.0	2644.0	2747.0	2829.0
29205.0	2509.0	2585.0	2867.0
31301.0	1218.0	1635.0	2214.0
25701.0	2741.0	3019.0	4167.0
25302.0	2511.0	2400.0	2275.0
23201.0	2611.0	2723.0	2718.0
22003.0	2191.0	2237.0	2354.0
7000.0	5421.0	5496.0	5476.0
11200.0	1476.0	1527.0	1585.0
30600.0	2272.0	2334.0	2497.0
25301.0	2717.0	2865.0	3035.0
8800.0	1561.0	1583.0	1608.0
8900.0	2171.0	2271.0	2397.0
9000.0	1570.0	1688.0	1716.0
2500.0	1202.0	1201.0	1202.0
9702.0	2414.0	2413.0	2416.0
29902.0	2211.0	2790.0	3044.0
32323.0	2171.0	2311.0	2506.0
31703.0	3159.0	3475.0	3766.0
23804.0	3088.0	5243.0	8946.0
31502.0	1758.0	2064.0	2550.0
32325.0	2828.0	3353.0	3776.0
31202.0	2216.0	2313.0	2508.0
28902.0	2697.0	3065.0	4275.0
24500.0	2011.0	2021.0	2027.0
28200.0	2242.0	2433.0	2703.0
11600.0	3140.0	3173.0	3190.0
12000.0	1543.0	1557.0	1566.0
27300.0	2294.0	2406.0	2476.0
28100.0	947.0	1053.0	1579.0
32007.0	1480.0	1736.0	2019.0
10500.0	3443.0	3498.0	3458.0
30100.0	3191.0	3352.0	3474.0
6700.0	4338.0	4719.0	7807.0
9600.0	3044.0	3169.0	3165.0
9800.0	3118.0	3208.0	3205.0
9900.0	3070.0	3374.0	3543.0
9701.0	3133.0	3200.0	3201.0
29801.0	3146.0	3408.0	3595.0
6900.0	2224.0	2249.0	2242.0
10600.0	3816.0	3923.0	3967.0
32215.0	1760.0	2442.0	3314.0
4400.0	2870.0	2790.0	2923.0
30801.0	2403.0	2423.0	3144.0
5000.0	1903.0	1943.0	1945.0
29502.0	2478.0	2867.0	3130.0
32103.0	2239.0	2327.0	2529.0
22005.0	2198.0	2251.0	2475.0
11001.0	1542.0	1538.0	1555.0
27500.0	2003.0	2036.0	2088.0
25805.0	2145.0	2319.0	2730.0
25806.0	2080.0	2312.0	2626.0
25400.0	3038.0	3204.0	3583.0
2800.0	2227.0	2241.0	2436.0
32208.0	3885.0	4251.0	4701.0
7800.0	2555.0	2566.0	2568.0
5400.0	2702.0	2819.0	2810.0
30311.0	1700.0	1726.0	1765.0
29403.0	2418.0	2619.0	2780.0
1400.0	2429.0	2496.0	2531.0
32210.0	4271.0	4615.0	5444.0
29003.0	2332.0	2725.0	3372.0
20402.0	2659.0	2724.0	3128.0
30401.0	3545.0	4288.0	4890.0
4301.0	1479.0	1370.0	1537.0
30308.0	2386.0	2430.0	2547.0
30312.0	2036.0	2180.0	2277.0
21700.0	3855.0	4516.0	7074.0
29305.0	1935.0	2261.0	2404.0
27400.0	2234.0	2318.0	2366.0
32401.0	2114.0	2373.0	3099.0
32207.0	1416.0	1611.0	1688.0
27702.0	2110.0	2101.0	2125.0
51917.0	1655.0	1705.0	1954.0
21600.0	2244.0	2542.0	3315.0
31400.0	2612.0	2750.0	2971.0
70207.0	1920.0	2159.0	2547.0
22500.0	3945.0	4138.0	4620.0
31501.0	1334.0	1415.0	1783.0
31603.0	2077.0	3088.0	5785.0
32702.0	2488.0	2611.0	3063.0
27701.0	2441.0	2434.0	2455.0
31601.0	1667.0	1715.0	1794.0
31204.0	2270.0	2387.0	2694.0
12100.0	1284.0	1302.0	1309.0
26600.0	971.0	1060.0	1159.0
26001.0	2294.0	2420.0	2744.0
25006.0	2210.0	2414.0	2843.0
31906.0	1473.0	1801.0	2057.0
31800.0	1979.0	2252.0	2503.0
32003.0	1875.0	2029.0	2516.0
32002.0	1213.0	1337.0	1636.0
3300.0	3258.0	3351.0	3354.0
26700.0	2375.0	2418.0	2506.0
11402.0	1903.0	1980.0	2114.0
32324.0	2252.0	2475.0	2690.0
32313.0	2453.0	2589.0	2953.0
32402.0	2317.0	2664.0	3256.0
32315.0	2010.0	2149.0	2380.0
32102.0	1862.0	1977.0	2229.0
32703.0	856.0	969.0	984.0
32602.0	3749.0	4114.0	4945.0
32800.0	1383.0	1583.0	2138.0
4800.0	2280.0	2306.0	2306.0
24300.0	3586.0	3642.0	3640.0
23300.0	2334.0	2408.0	2642.0
23100.0	1540.0	1568.0	1582.0
32213.0	1507.0	1624.0	1762.0
32601.0	1190.0	1224.0	1286.0
8001.0	4264.0	4750.0	5133.0
2900.0	1956.0	1972.0	1971.0
3000.0	2547.0	2573.0	2569.0
32309.0	2808.0	3085.0	3738.0
32320.0	1848.0	2076.0	2294.0
2200.0	2448.0	2450.0	2634.0
32500.0	2016.0	2219.0	2979.0
20200.0	2381.0	2383.0	2422.0
