tract10_id	jobs_2020	jobs_2030	jobs_2040
32307.0	1224.0	1253.0	1322.0
28802.0	7339.0	7014.0	7392.0
20100.0	706.0	715.0	739.0
25101.0	1555.0	2399.0	2716.0
29601.0	1237.0	1555.0	1756.0
26200.0	56182.0	60537.0	78494.0
8600.0	5982.0	5905.0	6217.0
8100.0	70855.0	80581.0	84868.0
30503.0	3161.0	3317.0	3341.0
30501.0	16616.0	19536.0	23212.0
29101.0	899.0	1255.0	2259.0
29102.0	790.0	815.0	857.0
10900.0	19734.0	20715.0	22063.0
10402.0	604.0	633.0	661.0
9300.0	48225.0	52488.0	57527.0
10001.0	4987.0	5135.0	5690.0
11002.0	998.0	993.0	1258.0
26400.0	4318.0	4532.0	5009.0
26300.0	10508.0	11356.0	13742.0
26100.0	1127.0	1169.0	1360.0
26002.0	1408.0	1528.0	1807.0
28600.0	1170.0	1203.0	1347.0
30504.0	1550.0	1591.0	1579.0
29700.0	7232.0	7831.0	10288.0
28300.0	6520.0	18678.0	26789.0
29206.0	44414.0	47074.0	50161.0
27200.0	7507.0	7976.0	8340.0
11700.0	3040.0	3419.0	3976.0
9500.0	3188.0	3854.0	4791.0
29205.0	1663.0	1677.0	1738.0
31301.0	596.0	645.0	723.0
25701.0	983.0	1302.0	1606.0
25302.0	15068.0	16510.0	21802.0
23201.0	1320.0	1228.0	1286.0
22003.0	1414.0	1440.0	1471.0
7000.0	2069.0	1982.0	2064.0
11200.0	7721.0	8429.0	9336.0
30600.0	3036.0	3383.0	4563.0
25301.0	7455.0	8146.0	10257.0
8800.0	526.0	538.0	609.0
8900.0	1997.0	1985.0	2236.0
9000.0	6386.0	6859.0	8554.0
2500.0	779.0	792.0	827.0
9702.0	671.0	704.0	752.0
29902.0	3488.0	3929.0	4077.0
32323.0	1220.0	1263.0	1310.0
31703.0	1109.0	1310.0	1378.0
23804.0	39991.0	49746.0	69281.0
31502.0	1460.0	1616.0	1703.0
32325.0	682.0	710.0	1208.0
31202.0	1433.0	1471.0	1489.0
28902.0	1513.0	1586.0	2880.0
24500.0	1008.0	1052.0	1132.0
28200.0	1615.0	1668.0	1724.0
11600.0	1017.0	1070.0	1092.0
12000.0	295.0	309.0	344.0
27300.0	1543.0	1620.0	2363.0
28100.0	1888.0	1978.0	1980.0
32007.0	904.0	915.0	982.0
10500.0	4325.0	5001.0	6489.0
30100.0	973.0	1043.0	1224.0
6700.0	8114.0	8990.0	10214.0
9600.0	1930.0	1909.0	1909.0
9800.0	2071.0	1990.0	2266.0
9900.0	8048.0	8537.0	10635.0
9701.0	1083.0	1086.0	1119.0
29801.0	1771.0	1902.0	1884.0
6900.0	694.0	701.0	870.0
10600.0	1432.0	1416.0	1418.0
32215.0	421.0	452.0	553.0
4400.0	1945.0	2011.0	2190.0
30801.0	11121.0	12302.0	14335.0
5000.0	3274.0	3265.0	3589.0
29502.0	1211.0	1256.0	1289.0
32103.0	14716.0	17715.0	26435.0
22005.0	4760.0	5348.0	6461.0
11001.0	1016.0	1028.0	1172.0
27500.0	1400.0	1459.0	2024.0
25805.0	692.0	727.0	785.0
25806.0	4105.0	4164.0	4418.0
25400.0	2153.0	2585.0	2983.0
2800.0	1078.0	1096.0	1203.0
32208.0	15686.0	22009.0	31663.0
7800.0	1562.0	1577.0	1640.0
5400.0	4853.0	5087.0	5663.0
30311.0	717.0	738.0	799.0
29403.0	751.0	799.0	832.0
1400.0	705.0	721.0	799.0
32210.0	3649.0	4239.0	5861.0
29003.0	1537.0	1669.0	1870.0
20402.0	838.0	858.0	784.0
30401.0	4009.0	4835.0	5365.0
4301.0	2895.0	2833.0	3603.0
30308.0	859.0	870.0	907.0
30312.0	784.0	790.0	1077.0
21700.0	2518.0	2493.0	2429.0
29305.0	556.0	594.0	666.0
27400.0	2174.0	2282.0	2487.0
32401.0	1662.0	1729.0	1827.0
32207.0	929.0	941.0	949.0
27702.0	843.0	888.0	934.0
51917.0	377.0	393.0	442.0
21600.0	1473.0	1409.0	1573.0
31400.0	4405.0	4767.0	5263.0
70207.0	2696.0	2830.0	2978.0
22500.0	9321.0	11240.0	14067.0
31501.0	343.0	362.0	461.0
31603.0	1674.0	1946.0	2385.0
32702.0	912.0	962.0	1419.0
27701.0	2781.0	2947.0	3305.0
31601.0	697.0	794.0	793.0
31204.0	921.0	948.0	947.0
12100.0	202.0	201.0	211.0
26600.0	816.0	808.0	892.0
26001.0	993.0	1077.0	1173.0
25006.0	348.0	367.0	445.0
31906.0	437.0	483.0	522.0
31800.0	1025.0	1161.0	1292.0
32003.0	1376.0	1452.0	1607.0
32002.0	440.0	451.0	490.0
3300.0	1547.0	1584.0	1681.0
26700.0	597.0	656.0	688.0
11402.0	1469.0	1485.0	1508.0
32324.0	973.0	1406.0	1783.0
32313.0	12328.0	13178.0	22237.0
32402.0	921.0	971.0	1039.0
32315.0	732.0	756.0	852.0
32102.0	598.0	621.0	673.0
32703.0	2604.0	2931.0	2805.0
32602.0	2107.0	2066.0	2852.0
32800.0	641.0	742.0	1337.0
4800.0	3121.0	3138.0	3258.0
24300.0	5556.0	5936.0	6764.0
23300.0	1498.0	1500.0	1508.0
23100.0	237.0	252.0	269.0
32213.0	377.0	404.0	440.0
32601.0	1007.0	1138.0	1287.0
8001.0	11694.0	11364.0	11737.0
2900.0	911.0	927.0	1018.0
3000.0	1126.0	1129.0	1302.0
32309.0	17888.0	21105.0	34933.0
32320.0	1386.0	1444.0	1486.0
2200.0	504.0	498.0	524.0
32500.0	1153.0	1239.0	1532.0
20200.0	1722.0	1849.0	1881.0
20800.0	602.0	640.0	646.0
51912.0	3178.0	3671.0	4129.0
20300.0	2865.0	2800.0	4321.0
30901.0	2244.0	2318.0	2437.0
11401.0	447.0	493.0	525.0
28402.0	16587.0	19143.0	21834.0
22803.0	58665.0	60737.0	67224.0
4900.0	5762.0	5663.0	5987.0
31704.0	1188.0	1474.0	1879.0
401.0	2295.0	2377.0	2738.0
24601.0	767.0	776.0	831.0
21904.0	2903.0	2989.0	3044.0
6100.0	5125.0	5113.0	5722.0
6600.0	8673.0	8498.0	9758.0
25200.0	1109.0	1210.0	1300.0
32704.0	4474.0	6438.0	9392.0
29307.0	595.0	646.0	728.0
21500.0	608.0	633.0	537.0
29802.0	831.0	890.0	1155.0
7401.0	1011.0	1002.0	1040.0
29503.0	3586.0	3907.0	3859.0
7402.0	1587.0	1641.0	1883.0
28500.0	2329.0	2547.0	3069.0
22102.0	762.0	819.0	1119.0
21802.0	9307.0	9541.0	9308.0
32322.0	300.0	303.0	330.0
25602.0	850.0	985.0	1122.0
23700.0	31621.0	35067.0	41163.0
300.0	710.0	778.0	1064.0
10300.0	2485.0	2520.0	2922.0
3900.0	469.0	475.0	512.0
7300.0	30635.0	40173.0	42217.0
6200.0	979.0	988.0	1054.0
21000.0	1932.0	1711.0	1781.0
5600.0	1131.0	1073.0	1095.0
31605.0	621.0	2256.0	2899.0
7500.0	6925.0	7766.0	8510.0
23401.0	12207.0	12913.0	13929.0
22605.0	5949.0	6458.0	6231.0
11800.0	1791.0	1832.0	1926.0
11900.0	387.0	401.0	421.0
25102.0	1276.0	1318.0	1728.0
25005.0	1510.0	1587.0	2434.0
32214.0	1704.0	1789.0	1867.0
3100.0	653.0	670.0	757.0
4000.0	540.0	544.0	554.0
32329.0	1647.0	2294.0	2411.0
22604.0	2866.0	2893.0	2950.0
32319.0	10731.0	10923.0	11962.0
32311.0	744.0	793.0	848.0
27900.0	7744.0	8211.0	10002.0
21906.0	4167.0	4159.0	4023.0
10401.0	737.0	749.0	897.0
24000.0	5942.0	6065.0	5900.0
28403.0	3095.0	3298.0	3373.0
27800.0	261.0	271.0	288.0
28700.0	586.0	616.0	653.0
8002.0	6931.0	7848.0	8240.0
30201.0	840.0	864.0	1107.0
23604.0	1057.0	1211.0	1332.0
24100.0	1006.0	1064.0	1140.0
31205.0	955.0	1063.0	1165.0
30802.0	523.0	566.0	597.0
22203.0	914.0	949.0	999.0
22201.0	822.0	855.0	892.0
30003.0	2050.0	2166.0	2395.0
31903.0	1076.0	1132.0	1245.0
30202.0	2689.0	2654.0	2460.0
200.0	1413.0	1415.0	1570.0
31100.0	2353.0	2666.0	2711.0
28801.0	3485.0	4028.0	6326.0
32203.0	1049.0	1143.0	1131.0
22902.0	654.0	681.0	728.0
5900.0	3902.0	4154.0	4545.0
1300.0	3291.0	3515.0	4322.0
27100.0	1009.0	1053.0	1141.0
22901.0	587.0	593.0	687.0
23000.0	2684.0	3019.0	3558.0
30004.0	528.0	555.0	584.0
22801.0	3333.0	3917.0	4217.0
5802.0	4947.0	5513.0	6378.0
5700.0	1706.0	1877.0	2299.0
22101.0	1095.0	1259.0	1645.0
21903.0	8915.0	9088.0	16509.0
29303.0	1953.0	2075.0	2197.0
6000.0	3761.0	3790.0	4172.0
24702.0	1658.0	2066.0	2149.0
23900.0	761.0	769.0	787.0
11500.0	694.0	705.0	742.0
20500.0	1612.0	1485.0	1408.0
32327.0	621.0	650.0	689.0
30005.0	784.0	814.0	868.0
9400.0	7769.0	7897.0	9636.0
29602.0	289.0	316.0	370.0
20700.0	3035.0	3613.0	5438.0
23803.0	12910.0	14174.0	25815.0
1200.0	6687.0	6541.0	7477.0
20600.0	493.0	513.0	552.0
52113.0	323.0	337.0	354.0
21803.0	3481.0	3943.0	5296.0
22603.0	1855.0	1933.0	2445.0
23601.0	9877.0	10941.0	10634.0
30902.0	1042.0	1202.0	1355.0
32211.0	976.0	1021.0	1067.0
29304.0	457.0	522.0	619.0
20900.0	3718.0	3576.0	3331.0
20401.0	1210.0	1156.0	1040.0
29901.0	551.0	631.0	759.0
32212.0	903.0	938.0	974.0
26801.0	924.0	964.0	1093.0
22802.0	2617.0	2737.0	2884.0
32318.0	863.0	926.0	1013.0
70307.0	485.0	501.0	534.0
31604.0	556.0	715.0	756.0
24602.0	872.0	919.0	1002.0
8300.0	8969.0	8937.0	9226.0
32104.0	2204.0	2273.0	2391.0
3200.0	2857.0	2960.0	3365.0
2400.0	671.0	689.0	943.0
22606.0	851.0	858.0	878.0
32326.0	873.0	876.0	875.0
5801.0	5561.0	5655.0	5894.0
22300.0	521.0	555.0	615.0
600.0	6496.0	6796.0	7596.0
21804.0	1674.0	2060.0	2735.0
31302.0	1262.0	1327.0	1453.0
24902.0	260.0	273.0	293.0
4700.0	10823.0	12003.0	15087.0
11101.0	658.0	669.0	721.0
4100.0	6647.0	7595.0	8099.0
30314.0	5768.0	5721.0	5450.0
24800.0	11023.0	10330.0	10209.0
25500.0	582.0	630.0	660.0
70100.0	1027.0	1170.0	1324.0
32006.0	582.0	615.0	654.0
29306.0	1199.0	1303.0	1628.0
23500.0	445.0	484.0	526.0
23801.0	6884.0	7145.0	7986.0
2600.0	1402.0	1469.0	1682.0
3800.0	787.0	780.0	842.0
32328.0	990.0	1021.0	1162.0
2100.0	1033.0	1267.0	1428.0
7100.0	13837.0	14103.0	14522.0
3500.0	1352.0	1351.0	1409.0
3400.0	801.0	755.0	769.0
1500.0	217.0	226.0	233.0
1600.0	1133.0	1155.0	1251.0
700.0	1736.0	1806.0	2445.0
5100.0	1643.0	1604.0	1717.0
6500.0	897.0	897.0	1018.0
26500.0	983.0	1006.0	1116.0
2700.0	1370.0	1309.0	1329.0
30006.0	3852.0	4368.0	7095.0
22001.0	1182.0	1202.0	1158.0
1702.0	950.0	918.0	1073.0
28901.0	2021.0	2204.0	2516.0
28000.0	1873.0	2454.0	3322.0
24701.0	587.0	653.0	666.0
29204.0	1937.0	2128.0	2035.0
10002.0	1009.0	1010.0	1077.0
402.0	1832.0	2234.0	2141.0
22006.0	884.0	991.0	996.0
30305.0	831.0	924.0	986.0
22202.0	1615.0	1659.0	1769.0
9100.0	3256.0	4446.0	6324.0
26802.0	910.0	967.0	1034.0
22400.0	4145.0	4399.0	4818.0
53801.0	445.0	550.0	620.0
24200.0	679.0	709.0	713.0
23403.0	8127.0	8239.0	9507.0
7200.0	32461.0	45634.0	50282.0
21100.0	2542.0	2522.0	2516.0
29405.0	399.0	438.0	480.0
8400.0	6319.0	6618.0	7375.0
24400.0	1163.0	1164.0	1175.0
8200.0	24917.0	26940.0	27344.0
30310.0	1630.0	1686.0	1858.0
32010.0	1487.0	1763.0	2174.0
7600.0	3069.0	3040.0	3196.0
11102.0	1120.0	1146.0	1178.0
24903.0	542.0	576.0	594.0
5302.0	29707.0	30110.0	32459.0
4600.0	786.0	798.0	858.0
29408.0	239.0	245.0	264.0
25803.0	623.0	629.0	414.0
29504.0	1457.0	1499.0	1485.0
29407.0	1252.0	1269.0	1282.0
1000.0	956.0	982.0	1024.0
31706.0	3528.0	3876.0	4143.0
32005.0	1182.0	1229.0	1286.0
32316.0	615.0	629.0	652.0
