faz_id,households_2000,households_2010,households_2020,households_2030,households_2040
8935.0,3284.0,4330.0,4792.0,5217.0,6850.0
8927.0,1703.0,1950.0,2075.0,2280.0,2862.0
8926.0,4308.0,5000.0,5506.0,6306.0,8226.0
8936.0,5347.0,6048.0,6757.0,7303.0,8303.0
8500.0,4538.0,6610.0,7643.0,8378.0,10641.0
8406.0,497.0,566.0,601.0,834.0,1316.0
8320.0,3604.0,3910.0,4738.0,5237.0,5932.0
8925.0,3838.0,4844.0,5532.0,6416.0,8745.0
8937.0,3315.0,3833.0,5184.0,6940.0,10022.0
8405.0,3392.0,5017.0,5636.0,6796.0,8941.0
8310.0,10316.0,11323.0,12974.0,14062.0,17208.0
8910.0,4704.0,5241.0,6272.0,7400.0,9697.0
7905.0,5439.0,7320.0,8771.0,10245.0,12651.0
7606.0,542.0,1190.0,1587.0,1977.0,2213.0
7805.0,5029.0,6517.0,7395.0,8707.0,10302.0
8220.0,7620.0,8052.0,8796.0,10019.0,12640.0
8000.0,4093.0,4895.0,5831.0,6184.0,6673.0
8906.0,2612.0,2942.0,3162.0,3422.0,3833.0
8210.0,3456.0,3909.0,4712.0,5853.0,6515.0
9020.0,4910.0,5907.0,7303.0,8414.0,9928.0
8125.0,6194.0,6626.0,7763.0,8202.0,9029.0
8126.0,4440.0,4669.0,5368.0,6142.0,7565.0
8905.0,2695.0,3318.0,3590.0,3871.0,4383.0
7806.0,1469.0,1716.0,2398.0,3208.0,4425.0
7700.0,3281.0,3360.0,3678.0,3725.0,3748.0
7526.0,5040.0,6009.0,6177.0,6321.0,7116.0
7340.0,7123.0,8921.0,10160.0,10958.0,12489.0
7605.0,630.0,711.0,740.0,757.0,799.0
7537.0,7063.0,8262.0,11368.0,12565.0,14074.0
8115.0,10196.0,11000.0,13346.0,14632.0,17008.0
7335.0,10965.0,13508.0,14731.0,15608.0,18521.0
8600.0,4915.0,5651.0,6648.0,7631.0,8792.0
7425.0,5839.0,9460.0,10130.0,11106.0,12416.0
7535.0,5556.0,8386.0,12236.0,13709.0,15615.0
7525.0,5140.0,5699.0,6173.0,6707.0,8660.0
7436.0,1924.0,2048.0,2186.0,2287.0,2342.0
9019.0,5169.0,6163.0,6810.0,7909.0,9525.0
7026.0,3772.0,3923.0,4344.0,4399.0,4474.0
7205.0,4991.0,4932.0,5434.0,5730.0,6531.0
7515.0,1308.0,1833.0,2139.0,2299.0,2601.0
7320.0,7911.0,10480.0,11518.0,12233.0,14809.0
7206.0,6939.0,7228.0,7830.0,8015.0,8819.0
7315.0,5362.0,5599.0,6548.0,7236.0,8447.0
7435.0,2533.0,2754.0,3013.0,3256.0,3528.0
7316.0,6297.0,7292.0,8033.0,8526.0,9145.0
7025.0,8648.0,7775.0,10012.0,10643.0,10932.0
7415.0,2501.0,3794.0,4406.0,5044.0,6287.0
7100.0,7779.0,8164.0,10569.0,11812.0,14298.0
7015.0,6721.0,7059.0,7911.0,8104.0,8609.0
9908.0,1180.0,1181.0,1118.0,1110.0,1091.0
6410.0,13726.0,14742.0,17192.0,19674.0,25570.0
6420.0,12318.0,12997.0,15183.0,17102.0,21966.0
5535.0,8460.0,9809.0,11990.0,13654.0,17153.0
5600.0,5004.0,5789.0,6692.0,7212.0,8134.0
5546.0,5384.0,5944.0,6929.0,7582.0,8548.0
4706.0,3561.0,4986.0,5146.0,5302.0,5556.0
6605.0,3292.0,4040.0,4431.0,5037.0,6175.0
6910.0,2183.0,2398.0,2776.0,3082.0,3828.0
6606.0,1737.0,1892.0,2016.0,2219.0,2629.0
9909.0,1553.0,1760.0,2115.0,2592.0,3807.0
9011.0,2831.0,3533.0,4156.0,4744.0,6260.0
5525.0,4637.0,5460.0,6088.0,6720.0,7507.0
5515.0,8459.0,9243.0,10784.0,11413.0,12089.0
6326.0,10762.0,11425.0,12384.0,12543.0,13129.0
9914.0,5468.0,6134.0,7222.0,8141.0,8707.0
5545.0,3740.0,4693.0,5744.0,6413.0,7064.0
6223.0,11421.0,12187.0,13227.0,13869.0,14307.0
5306.0,9567.0,9992.0,11159.0,11437.0,12928.0
6325.0,15100.0,15615.0,16660.0,16931.0,17294.0
9009.0,1638.0,1948.0,2121.0,2309.0,2616.0
9006.0,2991.0,3557.0,4288.0,5333.0,6230.0
6225.0,8502.0,9541.0,10327.0,10908.0,12759.0
9018.0,5288.0,5807.0,7879.0,9089.0,10360.0
